Hello, node 2, message 27558, msg time 1599884367, tx time 403 ms, battery 357 v, temp 1571 C, humidity 7800 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60721/1767
Hello, node 2, message 27559, msg time 1599884388, tx time 404 ms, battery 357 v, temp 1573 C, humidity 7800 %, status 0x00, RSSI -93 dBm, SNR 7 dB, good/bad packets: 60722/1767
Hello, node 2, message 27560, msg time 1599884409, tx time 404 ms, battery 357 v, temp 1573 C, humidity 7796 %, status 0x00, RSSI -92 dBm, SNR 7 dB, good/bad packets: 60723/1767
Hello, node 2, message 27561, msg time 1599884430, tx time 404 ms, battery 356 v, temp 1574 C, humidity 7797 %, status 0x00, RSSI -92 dBm, SNR 7 dB, good/bad packets: 60724/1767
Hello, node 2, message 27562, msg time 1599884451, tx time 404 ms, battery 357 v, temp 1577 C, humidity 7799 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60725/1767
Hello, node 2, message 27563, msg time 1599884472, tx time 404 ms, battery 357 v, temp 1578 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60726/1767
Hello, node 2, message 27564, msg time 1599884493, tx time 404 ms, battery 357 v, temp 1578 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60727/1767
Hello, node 2, message 27565, msg time 1599884514, tx time 404 ms, battery 356 v, temp 1580 C, humidity 7800 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60728/1767
Hello, node 2, message 27566, msg time 1599884535, tx time 404 ms, battery 357 v, temp 1581 C, humidity 7799 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60729/1767
Hello, node 2, message 27567, msg time 1599884556, tx time 404 ms, battery 357 v, temp 1583 C, humidity 7800 %, status 0x00, RSSI -92 dBm, SNR 7 dB, good/bad packets: 60730/1767
Hello, node 2, message 27568, msg time 1599884577, tx time 403 ms, battery 356 v, temp 1584 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60731/1767
Hello, node 2, message 27569, msg time 1599884598, tx time 404 ms, battery 356 v, temp 1585 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 7 dB, good/bad packets: 60732/1767
Hello, node 2, message 27570, msg time 1599884619, tx time 403 ms, battery 357 v, temp 1587 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 7 dB, good/bad packets: 60733/1767
Hello, node 2, message 27571, msg time 1599884640, tx time 402 ms, battery 357 v, temp 1588 C, humidity 7803 %, status 0x00, RSSI -93 dBm, SNR 8 dB, good/bad packets: 60734/1767
Hello, node 2, message 27572, msg time 1599884661, tx time 402 ms, battery 356 v, temp 1588 C, humidity 7800 %, status 0x00, RSSI -93 dBm, SNR 8 dB, good/bad packets: 60735/1767
Hello, node 2, message 27573, msg time 1599884682, tx time 402 ms, battery 356 v, temp 1593 C, humidity 7797 %, status 0x00, RSSI -92 dBm, SNR 7 dB, good/bad packets: 60736/1767
Hello, node 2, message 27574, msg time 1599884704, tx time 402 ms, battery 357 v, temp 1591 C, humidity 7801 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60737/1767
Hello, node 2, message 27575, msg time 1599884726, tx time 403 ms, battery 357 v, temp 1594 C, humidity 7798 %, status 0x00, RSSI -92 dBm, SNR 8 dB, good/bad packets: 60738/1767
Hello, node 2, message 27576, msg time 1599884748, tx time 402 ms, battery 356 v, temp 1595 C, humidity 7798 %, status 0x00, RSSI -90 dBm, SNR 8 dB, good/bad packets: 60739/1767
