Hello, node 2, message 1, msg time 1599303554, tx time 0 ms, battery 425 v, temp 2390 C, humidity 2783 %, status 0x00, RSSI -32 dBm, SNR 9 dB, good/bad packets: 14771/1148
Hello, node 1, message 6365, msg time 1598874366, tx time 404 ms, battery 355 v, temp 2403 C, humidity 2762 %, status 0x00, RSSI -68 dBm, SNR 10 dB, good/bad packets: 14772/1148
Hello, node 2, message 2, msg time 1599303576, tx time 403 ms, battery 361 v, temp 2388 C, humidity 2789 %, status 0x00, RSSI -32 dBm, SNR 9 dB, good/bad packets: 14773/1148
Hello, node 1, message 6366, msg time 1598874387, tx time 403 ms, battery 355 v, temp 2404 C, humidity 2759 %, status 0x00, RSSI -70 dBm, SNR 9 dB, good/bad packets: 14774/1148
Hello, node 2, message 3, msg time 1599303597, tx time 404 ms, battery 361 v, temp 2388 C, humidity 2787 %, status 0x00, RSSI -34 dBm, SNR 10 dB, good/bad packets: 14775/1148
Hello, node 1, message 6367, msg time 1598874408, tx time 404 ms, battery 355 v, temp 2409 C, humidity 2754 %, status 0x00, RSSI -67 dBm, SNR 9 dB, good/bad packets: 14776/1148
Hello, node 2, message 4, msg time 1599303618, tx time 403 ms, battery 360 v, temp 2390 C, humidity 2788 %, status 0x00, RSSI -31 dBm, SNR 9 dB, good/bad packets: 14777/1148
Hello, node 1, message 6368, msg time 1598874429, tx time 403 ms, battery 355 v, temp 2409 C, humidity 2755 %, status 0x00, RSSI -71 dBm, SNR 9 dB, good/bad packets: 14778/1148
Hello, node 2, message 5, msg time 1599303639, tx time 404 ms, battery 361 v, temp 2389 C, humidity 2783 %, status 0x00, RSSI -35 dBm, SNR 9 dB, good/bad packets: 14779/1148
Hello, node 1, message 6369, msg time 1598874450, tx time 404 ms, battery 355 v, temp 2411 C, humidity 2756 %, status 0x00, RSSI -70 dBm, SNR 9 dB, good/bad packets: 14780/1148
Hello, node 2, message 6, msg time 1599303660, tx time 403 ms, battery 361 v, temp 2392 C, humidity 2791 %, status 0x00, RSSI -34 dBm, SNR 10 dB, good/bad packets: 14781/1148
Hello, node 1, message 6370, msg time 1598874471, tx time 403 ms, battery 355 v, temp 2411 C, humidity 2759 %, status 0x00, RSSI -69 dBm, SNR 9 dB, good/bad packets: 14782/1148
Hello, node 2, message 7, msg time 1599303681, tx time 404 ms, battery 361 v, temp 2393 C, humidity 2791 %, status 0x00, RSSI -34 dBm, SNR 9 dB, good/bad packets: 14783/1148
Hello, node 1, message 6371, msg time 1598874492, tx time 404 ms, battery 355 v, temp 2414 C, humidity 2758 %, status 0x00, RSSI -69 dBm, SNR 9 dB, good/bad packets: 14784/1148
Hello, node 2, message 8, msg time 1599303702, tx time 403 ms, battery 361 v, temp 2392 C, humidity 2788 %, status 0x00, RSSI -33 dBm, SNR 9 dB, good/bad packets: 14785/1148
Hello, node 1, message 6372, msg time 1598874513, tx time 403 ms, battery 355 v, temp 2413 C, humidity 2758 %, status 0x00, RSSI -68 dBm, SNR 10 dB, good/bad packets: 14786/1148
Hello, node 2, message 9, msg time 1599303723, tx time 403 ms, battery 360 v, temp 2393 C, humidity 2792 %, status 0x00, RSSI -34 dBm, SNR 9 dB, good/bad packets: 14787/1148
Hello, node 1, message 6373, msg time 1598874534, tx time 404 ms, battery 355 v, temp 2413 C, humidity 2754 %, status 0x00, RSSI -69 dBm, SNR 9 dB, good/bad packets: 14788/1148
Hello, node 2, message 10, msg time 1599303744, tx time 404 ms, battery 360 v, temp 2395 C, humidity 2783 %, status 0x00, RSSI -34 dBm, SNR 9 dB, good/bad packets: 14789/1148
Hello, node 1, message 6374, msg time 1598874555, tx time 403 ms, battery 355 v, temp 2416 C, humidity 2751 %, status 0x00, RSSI -68 dBm, SNR 10 dB, good/bad packets: 14790/1148
Hello, node 2, message 11, msg time 1599303765, tx time 404 ms, battery 360 v, temp 2396 C, humidity 2785 %, status 0x00, RSSI -34 dBm, SNR 10 dB, good/bad packets: 14791/1148
Hello, node 1, message 6375, msg time 1598874576, tx time 405 ms, battery 355 v, temp 2420 C, humidity 2752 %, status 0x00, RSSI -68 dBm, SNR 9 dB, good/bad packets: 14792/1148
Hello, node 2, message 12, msg time 1599303786, tx time 403 ms, battery 360 v, temp 2399 C, humidity 2790 %, status 0x00, RSSI -33 dBm, SNR 10 dB, good/bad packets: 14793/1148
Hello, node 1, message 6376, msg time 1598874597, tx time 403 ms, battery 355 v, temp 2421 C, humidity 2749 %, status 0x00, RSSI -68 dBm, SNR 10 dB, good/bad packets: 14794/1148
Hello, node 2, message 13, msg time 1599303807, tx time 404 ms, battery 360 v, temp 2397 C, humidity 2787 %, status 0x00, RSSI -34 dBm, SNR 9 dB, good/bad packets: 14795/1148
Hello, node 1, message 6377, msg time 1598874618, tx time 404 ms, battery 355 v, temp 2421 C, humidity 2753 %, status 0x00, RSSI -68 dBm, SNR 9 dB, good/bad packets: 14796/1148
Hello, node 2, message 14, msg time 1599303828, tx time 404 ms, battery 360 v, temp 2399 C, humidity 2784 %, status 0x00, RSSI -34 dBm, SNR 9 dB, good/bad packets: 14797/1148
