# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 26337, 1600165356, 331, 1545, 1629, 3498, 0x00
1, 26338, 1600165361, 331, 1544, 1629, 3496, 0x00
1, 26339, 1600165366, 331, 1545, 1633, 3513, 0x00
1, 26340, 1600165371, 331, 1545, 1636, 3522, 0x00
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 11, 1600165881, 359, 386, 1746, 3387, 0x00
1, 12, 1600165886, 358, 386, 1749, 3425, 0x00
1, 13, 1600165892, 357, 386, 1749, 3368, 0x00
1, 14, 1600165897, 356, 386, 1751, 3328, 0x00
1, 15, 1600165902, 355, 386, 1754, 3287, 0x00
1, 16, 1600165907, 354, 387, 1754, 3268, 0x00
1, 17, 1600165912, 354, 386, 1754, 3252, 0x00
# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 18, 1600165917, 353, 386, 1758, 3239, 0x00
1, 19, 1600165922, 352, 386, 1758, 3232, 0x00
1, 20, 1600165927, 351, 387, 1761, 3231, 0x00
1, 21, 1600165932, 351, 386, 1762, 3224, 0x00
1, 22, 1600165937, 350, 387, 1762, 3225, 0x00
1, 23, 1600165942, 350, 387, 1766, 3216, 0x00
1, 24, 1600165947, 349, 387, 1766, 3212, 0x00
1, 25, 1600165952, 349, 386, 1769, 3216, 0x00
1, 26, 1600165957, 349, 386, 1770, 3212, 0x00
1, 27, 1600165962, 348, 386, 1770, 3205, 0x00
1, 28, 1600165967, 348, 387, 1773, 3205, 0x00
1, 29, 1600165972, 347, 386, 1774, 3205, 0x00
1, 30, 1600165977, 347, 386, 1777, 3204, 0x00
1, 31, 1600165982, 347, 386, 1778, 3194, 0x00
1, 32, 1600165987, 346, 387, 1777, 3188, 0x00
1, 33, 1600165992, 346, 386, 1777, 3184, 0x00
1, 34, 1600165997, 346, 387, 1779, 3184, 0x00
1, 35, 1600166002, 346, 386, 1782, 3189, 0x00
1, 36, 1600166008, 345, 386, 1781, 3179, 0x00
1, 37, 1600166013, 345, 387, 1784, 3179, 0x00
1, 38, 1600166018, 345, 387, 1785, 3215, 0x00
1, 39, 1600166023, 345, 386, 1787, 3209, 0x00
1, 40, 1600166028, 345, 386, 1790, 3189, 0x00
1, 41, 1600166033, 344, 386, 1790, 3183, 0x00
1, 42, 1600166038, 344, 387, 1792, 3174, 0x00
1, 43, 1600166043, 344, 386, 1792, 3165, 0x00
1, 44, 1600166048, 344, 386, 1795, 3161, 0x00
1, 45, 1600166053, 343, 386, 1796, 3162, 0x00
1, 46, 1600166058, 343, 387, 1798, 3160, 0x00
1, 47, 1600166063, 343, 386, 1801, 3152, 0x00
1, 48, 1600166068, 343, 386, 1801, 3155, 0x00
1, 49, 1600166073, 343, 386, 1804, 3148, 0x00
1, 50, 1600166078, 343, 387, 1804, 3139, 0x00
1, 51, 1600166083, 343, 386, 1804, 3137, 0x00
1, 52, 1600166088, 343, 386, 1806, 3134, 0x00
1, 53, 1600166093, 342, 386, 1806, 3131, 0x00
1, 54, 1600166098, 342, 386, 1808, 3131, 0x00
1, 55, 1600166103, 342, 386, 1811, 3134, 0x00
