# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 5846, 1599889726, 334, 64, -1868, 5737, 0x00
1, 5847, 1599889731, 334, 64, -1865, 5822, 0x00
1, 5848, 1599889736, 334, 64, -1864, 5900, 0x00
1, 5853, 1599889762, 334, 64, -1857, 6130, 0x00
1, 5854, 1599889767, 334, 64, -1854, 6136, 0x00
1, 5855, 1599889772, 334, 64, -1856, 6136, 0x00
1, 5856, 1599889777, 334, 64, -1850, 6124, 0x00
1, 5857, 1599889782, 334, 64, -1851, 6100, 0x00
1, 5858, 1599889787, 334, 64, -1853, 6065, 0x00
1, 5861, 1599889802, 334, 64, -1846, 5914, 0x00
1, 5862, 1599889807, 334, 64, -1846, 5853, 0x00
1, 5863, 1599889812, 334, 64, -1845, 5791, 0x00
1, 5864, 1599889818, 334, 64, -1845, 5726, 0x00
1, 5865, 1599889823, 334, 64, -1843, 5658, 0x00
1, 5866, 1599889828, 334, 64, -1844, 5592, 0x00
1, 5867, 1599889833, 334, 64, -1844, 5529, 0x00
1, 5868, 1599889838, 334, 63, -1846, 5464, 0x00
1, 5869, 1599889843, 334, 64, -1845, 5402, 0x00
1, 5870, 1599889848, 334, 64, -1843, 5335, 0x00
1, 5871, 1599889853, 334, 64, -1845, 5275, 0x00
1, 5872, 1599889858, 334, 64, -1845, 5217, 0x00
1, 5873, 1599889863, 334, 64, -1845, 5164, 0x00
1, 5874, 1599889868, 334, 64, -1844, 5111, 0x00
1, 5875, 1599889873, 334, 64, -1848, 5059, 0x00
1, 5876, 1599889879, 334, 64, -1848, 5013, 0x00
1, 5877, 1599889884, 334, 64, -1846, 4968, 0x00
1, 5878, 1599889889, 334, 64, -1848, 4927, 0x00
1, 5879, 1599889894, 334, 64, -1848, 4892, 0x00
1, 5880, 1599889899, 334, 64, -1848, 4855, 0x00
1, 5881, 1599889904, 334, 64, -1850, 4822, 0x00
1, 5882, 1599889909, 334, 64, -1850, 4790, 0x00
1, 5883, 1599889914, 334, 64, -1853, 4759, 0x00
1, 5884, 1599889919, 334, 64, -1853, 4730, 0x00
1, 5885, 1599889924, 334, 63, -1853, 4703, 0x00
1, 5886, 1599889929, 334, 64, -1854, 4673, 0x00
1, 5887, 1599889935, 334, 64, -1854, 4648, 0x00
1, 5888, 1599889940, 334, 64, -1856, 4625, 0x00
1, 5889, 1599889945, 334, 64, -1856, 4604, 0x00
1, 5890, 1599889950, 334, 64, -1860, 4584, 0x00
1, 5891, 1599889955, 334, 64, -1860, 4566, 0x00
1, 5892, 1599889960, 334, 64, -1860, 4542, 0x00
1, 5893, 1599889965, 334, 64, -1861, 4526, 0x00
1, 5894, 1599889970, 334, 64, -1861, 4511, 0x00
1, 5895, 1599889975, 334, 64, -1862, 4499, 0x00
1, 5896, 1599889980, 334, 64, -1865, 4482, 0x00
1, 5897, 1599889985, 334, 64, -1864, 4467, 0x00
1, 5898, 1599889990, 334, 64, -1865, 4453, 0x00
1, 5899, 1599889996, 334, 64, -1869, 4442, 0x00
1, 5900, 1599890001, 334, 63, -1868, 4434, 0x00
1, 5901, 1599890006, 334, 64, -1869, 4419, 0x00
1, 5902, 1599890011, 334, 64, -1870, 4411, 0x00
1, 5903, 1599890016, 334, 63, -1874, 4403, 0x00
1, 5904, 1599890021, 334, 64, -1875, 4392, 0x00
1, 5905, 1599890026, 334, 64, -1877, 4380, 0x00
1, 5906, 1599890031, 334, 64, -1875, 4374, 0x00
1, 5907, 1599890036, 334, 64, -1877, 4364, 0x00
1, 5908, 1599890041, 334, 64, -1878, 4355, 0x00
1, 5909, 1599890046, 334, 64, -1882, 4352, 0x00
1, 5910, 1599890052, 334, 64, -1881, 4345, 0x00
1, 5911, 1599890057, 334, 64, -1884, 4337, 0x00
1, 5912, 1599890062, 334, 64, -1884, 4333, 0x00
