# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
1, 200, 1600033435, 351, 1545, 781, 1775, 0x00
1, 201, 1600033440, 351, 1545, 759, 1795, 0x00
1, 202, 1600033445, 351, 1544, 733, 1811, 0x00
1, 203, 1600033451, 351, 1545, 711, 1834, 0x00
1, 204, 1600033456, 351, 1544, 690, 1853, 0x00
1, 205, 1600033461, 351, 1545, 669, 1875, 0x00
1, 206, 1600033466, 351, 1545, 644, 1899, 0x00
1, 207, 1600033471, 351, 1544, 622, 1921, 0x00
1, 208, 1600033476, 351, 1545, 601, 1940, 0x00
1, 209, 1600033481, 351, 1544, 579, 1971, 0x00
1, 210, 1600033486, 351, 1545, 558, 1987, 0x00
1, 211, 1600033491, 351, 1544, 540, 2010, 0x00
1, 212, 1600033496, 351, 1545, 518, 2040, 0x00
1, 213, 1600033501, 351, 1544, 494, 2059, 0x00
1, 214, 1600033506, 351, 1545, 475, 2082, 0x00
1, 215, 1600033511, 351, 1545, 456, 2109, 0x00
1, 216, 1600033516, 351, 1544, 437, 2135, 0x00
1, 217, 1600033521, 351, 1545, 416, 2157, 0x00
1, 218, 1600033526, 351, 1544, 399, 2181, 0x00
1, 219, 1600033531, 351, 1545, 379, 2206, 0x00
1, 220, 1600033536, 351, 1544, 361, 2221, 0x00
1, 221, 1600033541, 351, 1544, 341, 2243, 0x00
1, 222, 1600033546, 351, 1545, 323, 2266, 0x00
1, 223, 1600033551, 351, 1544, 306, 2290, 0x00
1, 224, 1600033557, 351, 1544, 285, 2310, 0x00
1, 225, 1600033562, 351, 1545, 271, 2331, 0x00
1, 226, 1600033567, 351, 1544, 252, 2353, 0x00
1, 227, 1600033572, 351, 1544, 234, 2372, 0x00
1, 228, 1600033577, 351, 1545, 218, 2397, 0x00
1, 229, 1600033582, 351, 1544, 200, 2415, 0x00
1, 230, 1600033587, 351, 1545, 185, 2443, 0x00
1, 231, 1600033592, 351, 1545, 167, 2466, 0x00
1, 232, 1600033597, 351, 1544, 149, 2486, 0x00
1, 233, 1600033602, 351, 1545, 136, 2509, 0x00
1, 234, 1600033607, 351, 1544, 120, 2529, 0x00
1, 235, 1600033612, 351, 1544, 104, 2556, 0x00
1, 236, 1600033617, 351, 1545, 88, 2578, 0x00
1, 237, 1600033622, 351, 1544, 74, 2598, 0x00
1, 238, 1600033627, 351, 1545, 60, 2623, 0x00
1, 239, 1600033632, 351, 1544, 45, 2643, 0x00
1, 240, 1600033637, 351, 1545, 28, 2666, 0x00
1, 241, 1600033642, 351, 1545, 14, 2689, 0x00
1, 242, 1600033647, 351, 1544, -1, 2715, 0x00
1, 243, 1600033652, 351, 1545, -15, 2735, 0x00
1, 244, 1600033657, 351, 1544, -29, 2756, 0x00
1, 245, 1600033662, 351, 1545, -44, 2781, 0x00
1, 246, 1600033668, 351, 1545, -55, 2800, 0x00
1, 247, 1600033673, 351, 1544, -69, 2824, 0x00
1, 248, 1600033678, 351, 1545, -84, 2846, 0x00
1, 249, 1600033683, 351, 1544, -96, 2874, 0x00
1, 250, 1600033688, 351, 1545, -108, 2899, 0x00
1, 251, 1600033693, 351, 1545, -122, 2920, 0x00
1, 252, 1600033698, 351, 1544, -135, 2940, 0x00
1, 253, 1600033703, 351, 1545, -150, 2965, 0x00
1, 254, 1600033708, 351, 1544, -163, 2990, 0x00
1, 255, 1600033713, 351, 1545, -174, 3039, 0x00
1, 256, 1600033718, 351, 1545, -189, 3095, 0x00
1, 257, 1600033723, 351, 1544, -201, 3147, 0x00
1, 258, 1600033728, 351, 1545, -213, 3192, 0x00
1, 259, 1600033733, 351, 1544, -226, 3223, 0x00
1, 260, 1600033738, 351, 1544, -239, 3250, 0x00
1, 261, 1600033743, 351, 1545, -252, 3274, 0x00
1, 262, 1600033748, 351, 1544, -266, 3291, 0x00
1, 263, 1600033753, 351, 1545, -283, 3303, 0x00
1, 264, 1600033758, 351, 1544, -294, 3313, 0x00
1, 265, 1600033763, 351, 1544, -311, 3323, 0x00
1, 266, 1600033768, 351, 1545, -325, 3322, 0x00
1, 267, 1600033774, 351, 1544, -340, 3318, 0x00
1, 268, 1600033779, 351, 1545, -351, 3318, 0x00
1, 269, 1600033784, 351, 1545, -367, 3314, 0x00
1, 270, 1600033789, 351, 1544, -380, 3305, 0x00
1, 271, 1600033794, 351, 1545, -395, 3296, 0x00
1, 272, 1600033799, 351, 1544, -409, 3293, 0x00
1, 273, 1600033804, 351, 1545, -421, 3282, 0x00
1, 274, 1600033809, 351, 1545, -436, 3268, 0x00
1, 275, 1600033814, 351, 1544, -450, 3258, 0x00
1, 276, 1600033819, 351, 1545, -464, 3250, 0x00
1, 277, 1600033824, 351, 1544, -480, 3240, 0x00
1, 278, 1600033829, 351, 1545, -492, 3236, 0x00
1, 279, 1600033834, 351, 1545, -507, 3227, 0x00
1, 280, 1600033839, 351, 1544, -521, 3218, 0x00
1, 281, 1600033844, 351, 1545, -534, 3216, 0x00
1, 282, 1600033849, 351, 1544, -546, 3215, 0x00
1, 283, 1600033854, 350, 1545, -560, 3209, 0x00
1, 284, 1600033859, 351, 1545, -574, 3207, 0x00
1, 285, 1600033864, 351, 1544, -587, 3204, 0x00
1, 286, 1600033869, 351, 1545, -601, 3204, 0x00
1, 287, 1600033874, 351, 1544, -610, 3204, 0x00
1, 288, 1600033880, 351, 1545, -625, 3203, 0x00
1, 289, 1600033885, 351, 1545, -638, 3208, 0x00
1, 290, 1600033890, 351, 1544, -649, 3209, 0x00
1, 291, 1600033895, 351, 1545, -663, 3214, 0x00
1, 292, 1600033900, 351, 1544, -673, 3216, 0x00
1, 293, 1600033905, 351, 1545, -686, 3223, 0x00
1, 294, 1600033910, 351, 1545, -700, 3229, 0x00
1, 295, 1600033915, 351, 1544, -713, 3231, 0x00
1, 296, 1600033920, 351, 1545, -724, 3239, 0x00
1, 297, 1600033925, 351, 1544, -734, 3243, 0x00
1, 298, 1600033930, 351, 1544, -745, 3252, 0x00
1, 299, 1600033935, 351, 1545, -758, 3256, 0x00
1, 300, 1600033940, 351, 1544, -769, 3264, 0x00
1, 301, 1600033945, 351, 1545, -782, 3268, 0x00
1, 302, 1600033950, 351, 1544, -792, 3279, 0x00
1, 303, 1600033955, 350, 1544, -804, 3291, 0x00
1, 304, 1600033960, 351, 1545, -816, 3299, 0x00
1, 305, 1600033965, 351, 1544, -826, 3312, 0x00
1, 306, 1600033970, 350, 1545, -837, 3316, 0x00
1, 307, 1600033975, 351, 1545, -847, 3330, 0x00
1, 308, 1600033980, 351, 1544, -859, 3338, 0x00
1, 309, 1600033986, 351, 1545, -871, 3347, 0x00
1, 310, 1600033991, 351, 1544, -879, 3359, 0x00
1, 311, 1600033996, 351, 1545, -892, 3368, 0x00
1, 312, 1600034001, 350, 1545, -901, 3378, 0x00
1, 313, 1600034006, 350, 1544, -910, 3395, 0x00
1, 314, 1600034011, 350, 1545, -918, 3402, 0x00
1, 315, 1600034016, 351, 1544, -930, 3414, 0x00
1, 316, 1600034021, 350, 1545, -938, 3425, 0x00
1, 317, 1600034026, 351, 1544, -950, 3434, 0x00
