# Start Log
Hello, node 1, message 1, msg time 1596321169, tx time 0 ms, battery 330 v, temp 1513 C, humidity 8723 %
Hello, node 1, message 2, msg time 1596321175, tx time 403 ms, battery 330 v, temp 1516 C, humidity 8725 %
Hello, node 1, message 3, msg time 1596321181, tx time 403 ms, battery 331 v, temp 1512 C, humidity 8728 %
Hello, node 1, message 4, msg time 1596321187, tx time 403 ms, battery 330 v, temp 1513 C, humidity 8728 %
Hello, node 1, message 5, msg time 1596321193, tx time 403 ms, battery 331 v, temp 1513 C, humidity 8730 %
Hello, node 1, message 6, msg time 1596321199, tx time 403 ms, battery 330 v, temp 1512 C, humidity 8732 %
Hello, node 1, message 7, msg time 1596321205, tx time 403 ms, battery 330 v, temp 1512 C, humidity 8732 %
Hello, node 1, message 8, msg time 1596321211, tx time 403 ms, battery 330 v, temp 1512 C, humidity 8735 %
Hello, node 1, message 9, msg time 1596321217, tx time 404 ms, battery 330 v, temp 1512 C, humidity 8738 %
Hello, node 1, message 10, msg time 1596321223, tx time 403 ms, battery 330 v, temp 1509 C, humidity 8741 %
Hello, node 1, message 11, msg time 1596321230, tx time 404 ms, battery 330 v, temp 1510 C, humidity 8739 %
Hello, node 1, message 12, msg time 1596321236, tx time 403 ms, battery 331 v, temp 1509 C, humidity 8743 %
Hello, node 1, message 13, msg time 1596321242, tx time 403 ms, battery 330 v, temp 1506 C, humidity 8745 %
Hello, node 1, message 14, msg time 1596321248, tx time 403 ms, battery 330 v, temp 1510 C, humidity 8747 %
Hello, node 1, message 15, msg time 1596321254, tx time 403 ms, battery 330 v, temp 1510 C, humidity 8749 %
Hello, node 1, message 16, msg time 1596321260, tx time 403 ms, battery 330 v, temp 1507 C, humidity 8750 %
Hello, node 1, message 17, msg time 1596321266, tx time 403 ms, battery 330 v, temp 1506 C, humidity 8747 %
Hello, node 1, message 18, msg time 1596321272, tx time 403 ms, battery 330 v, temp 1507 C, humidity 8750 %
Hello, node 1, message 19, msg time 1596321278, tx time 403 ms, battery 331 v, temp 1507 C, humidity 8752 %
Hello, node 1, message 20, msg time 1596321284, tx time 403 ms, battery 330 v, temp 1504 C, humidity 8752 %
Hello, node 1, message 21, msg time 1596321290, tx time 403 ms, battery 330 v, temp 1507 C, humidity 8751 %
Hello, node 1, message 22, msg time 1596321296, tx time 403 ms, battery 330 v, temp 1503 C, humidity 8751 %
Hello, node 1, message 23, msg time 1596321302, tx time 403 ms, battery 330 v, temp 1504 C, humidity 8755 %
Hello, node 1, message 24, msg time 1596321308, tx time 404 ms, battery 330 v, temp 1504 C, humidity 8753 %
Hello, node 1, message 25, msg time 1596321314, tx time 403 ms, battery 330 v, temp 1506 C, humidity 8759 %
Hello, node 1, message 26, msg time 1596321320, tx time 404 ms, battery 330 v, temp 1504 C, humidity 8753 %
Hello, node 1, message 27, msg time 1596321326, tx time 403 ms, battery 330 v, temp 1504 C, humidity 8757 %
Hello, node 1, message 28, msg time 1596321332, tx time 404 ms, battery 330 v, temp 1503 C, humidity 8757 %
Hello, node 1, message 29, msg time 1596321338, tx time 403 ms, battery 330 v, temp 1503 C, humidity 8756 %
Hello, node 1, message 30, msg time 1596321344, tx time 404 ms, battery 330 v, temp 1502 C, humidity 8756 %
Hello, node 1, message 31, msg time 1596321350, tx time 403 ms, battery 330 v, temp 1502 C, humidity 8757 %
Hello, node 1, message 32, msg time 1596321357, tx time 404 ms, battery 330 v, temp 1502 C, humidity 8758 %
Hello, node 1, message 33, msg time 1596321363, tx time 404 ms, battery 330 v, temp 1502 C, humidity 8757 %
Hello, node 1, message 34, msg time 1596321369, tx time 403 ms, battery 330 v, temp 1502 C, humidity 8758 %
Hello, node 1, message 35, msg time 1596321375, tx time 403 ms, battery 330 v, temp 1500 C, humidity 8763 %
Hello, node 1, message 36, msg time 1596321381, tx time 403 ms, battery 330 v, temp 1503 C, humidity 8760 %
Hello, node 1, message 37, msg time 1596321387, tx time 403 ms, battery 330 v, temp 1503 C, humidity 8759 %
Hello, node 1, message 38, msg time 1596321393, tx time 403 ms, battery 330 v, temp 1503 C, humidity 8762 %
Hello, node 1, message 39, msg time 1596321399, tx time 403 ms, battery 330 v, temp 1503 C, humidity 8761 %
Hello, node 1, message 40, msg time 1596321405, tx time 403 ms, battery 330 v, temp 1502 C, humidity 8763 %
Hello, node 1, message 41, msg time 1596321411, tx time 404 ms, battery 330 v, temp 1502 C, humidity 8765 %
Hello, node 1, message 42, msg time 1596321417, tx time 403 ms, battery 330 v, temp 1502 C, humidity 8766 %
Hello, node 1, message 43, msg time 1596321423, tx time 404 ms, battery 330 v, temp 1502 C, humidity 8767 %
Hello, node 1, message 44, msg time 1596321429, tx time 403 ms, battery 330 v, temp 1502 C, humidity 8769 %
Hello, node 1, message 45, msg time 1596321435, tx time 404 ms, battery 330 v, temp 1500 C, humidity 8769 %
Hello, node 1, message 46, msg time 1596321441, tx time 403 ms, battery 330 v, temp 1500 C, humidity 8770 %
Hello, node 1, message 47, msg time 1596321447, tx time 403 ms, battery 330 v, temp 1499 C, humidity 8770 %
Hello, node 1, message 48, msg time 1596321453, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8770 %
Hello, node 1, message 49, msg time 1596321459, tx time 403 ms, battery 330 v, temp 1499 C, humidity 8771 %
Hello, node 1, message 50, msg time 1596321465, tx time 403 ms, battery 330 v, temp 1500 C, humidity 8771 %
Hello, node 1, message 51, msg time 1596321471, tx time 403 ms, battery 330 v, temp 1498 C, humidity 8773 %
