14:22:19.553 -> boot
14:22:19.553 -> Start receiveer
14:22:19.624 -> ATTACH
14:22:19.624 -> 1
14:22:19.624 -> Listening on frequency: 915.00
14:22:22.277 -> request: Hello, node 2, message 3277, msg time 1599373564, tx time 404 ms, battery 359 v, temp 1600 C, humidity 8891 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 1/0
14:22:43.259 -> request: Hello, node 2, message 3278, msg time 1599373585, tx time 405 ms, battery 359 v, temp 1575 C, humidity 8946 %, status 0x00, RSSI -99 dBm, SNR 8 dB, good/bad packets: 2/1
14:23:04.262 -> request: Hello, node 2, message 3279, msg time 1599373606, tx time 403 ms, battery 359 v, temp 1556 C, humidity 8997 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 3/2
14:23:20.356 -> request: Hello, node 1, message 11057, msg time 1598972906, tx time 403 ms, battery 357 v, temp 1521 C, humidity 8232 %, status 0x00, RSSI -120 dBm, SNR -2 dB, good/bad packets: 4/2
14:23:25.270 -> request: Hello, node 2, message 3280, msg time 1599373627, tx time 404 ms, battery 359 v, temp 1534 C, humidity 9042 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 5/2
14:23:46.276 -> request: Hello, node 2, message 3281, msg time 1599373648, tx time 404 ms, battery 359 v, temp 1517 C, humidity 9082 %, status 0x00, RSSI -101 dBm, SNR 7 dB, good/bad packets: 6/3
14:24:07.241 -> request: Hello, node 2, message 3282, msg time 1599373669, tx time 403 ms, battery 359 v, temp 1503 C, humidity 9117 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 7/4
14:24:28.254 -> request: Hello, node 2, message 3283, msg time 1599373690, tx time 403 ms, battery 359 v, temp 1488 C, humidity 9148 %, status 0x00, RSSI -100 dBm, SNR 9 dB, good/bad packets: 8/5
14:24:49.266 -> request: Hello, node 2, message 3284, msg time 1599373711, tx time 403 ms, battery 359 v, temp 1476 C, humidity 9176 %, status 0x00, RSSI -100 dBm, SNR 7 dB, good/bad packets: 9/6
14:25:10.271 -> request: Hello, node 2, message 3285, msg time 1599373732, tx time 403 ms, battery 359 v, temp 1461 C, humidity 9200 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 10/7
14:25:31.249 -> request: Hello, node 2, message 3286, msg time 1599373753, tx time 405 ms, battery 359 v, temp 1449 C, humidity 9224 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 11/8
14:25:52.268 -> request: Hello, node 2, message 3287, msg time 1599373774, tx time 403 ms, battery 359 v, temp 1441 C, humidity 9244 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 12/9
14:26:13.281 -> request: Hello, node 2, message 3288, msg time 1599373795, tx time 405 ms, battery 359 v, temp 1429 C, humidity 9262 %, status 0x00, RSSI -100 dBm, SNR 9 dB, good/bad packets: 13/10
14:26:34.285 -> request: Hello, node 2, message 3289, msg time 1599373816, tx time 403 ms, battery 359 v, temp 1421 C, humidity 9279 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 14/11
14:26:55.275 -> request: Hello, node 2, message 3290, msg time 1599373837, tx time 403 ms, battery 359 v, temp 1409 C, humidity 9295 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 15/12
14:27:16.252 -> request: Hello, node 2, message 3291, msg time 1599373858, tx time 405 ms, battery 359 v, temp 1402 C, humidity 9309 %, status 0x00, RSSI -99 dBm, SNR 9 dB, good/bad packets: 16/13
14:27:37.290 -> request: Hello, node 2, message 3292, msg time 1599373879, tx time 403 ms, battery 359 v, temp 1393 C, humidity 9320 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 17/14
14:27:59.255 -> request: Hello, node 2, message 3293, msg time 1599373901, tx time 403 ms, battery 359 v, temp 1385 C, humidity 9336 %, status 0x00, RSSI -101 dBm, SNR 7 dB, good/bad packets: 18/15
14:28:41.282 -> request: Hello, node 2, message 3295, msg time 1599373943, tx time 403 ms, battery 358 v, temp 1374 C, humidity 9354 %, status 0x00, RSSI -100 dBm, SNR 8 dB, good/bad packets: 19/17
14:29:02.291 -> request: Hello, node 2, message 3296, msg time 1599373964, tx time 403 ms, battery 359 v, temp 1367 C, humidity 9364 %, status 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 20/18
14:29:24.295 -> request: Hello, node 2, message 3297, msg time 1599373986, tx time 403 ms, battery 359 v, temp 1360 C, humidity 9376 %, status 0x00, RSSI -101 dBm, SNR 8 dB, good/bad packets: 21/19
14:29:46.286 -> request: Hello, node 2, message 3298, msg time 1599374008, tx time 405 ms, battery 359 v, temp 1354 C, humidity 9383 %, status 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 22/20
14:30:08.267 -> request: Hello, node 2, message 3299, msg time 1599374030, tx time 404 ms, battery 359 v, temp 1348 C, humidity 9392 %, status 0x00, RSSI -100 dBm, SNR 8 dB, good/bad packets: 23/21
14:30:29.223 -> request: Hello, node 2, message 3300, msg time 1599374051, tx time 404 ms, battery 359 v, temp 1344 C, humidity 9400 %, status 0x00, RSSI -96 dBm, SNR 9 dB, good/bad packets: 24/22
14:30:41.353 -> request: Hello, node 1, message 11078, msg time 1598973347, tx time 404 ms, battery 357 v, temp 1379 C, humidity 8529 %, status 0x00, RSSI -113 dBm, SNR 1 dB, good/bad packets: 25/22
14:30:50.255 -> request: Hello, node 2, message 3301, msg time 1599374072, tx time 403 ms, battery 359 v, temp 1337 C, humidity 9406 %, status 0x00, RSSI -100 dBm, SNR 8 dB, good/bad packets: 26/22
14:31:02.377 -> request: Hello, node 1, message 11079, msg time 1598973368, tx time 402 ms, battery 357 v, temp 1373 C, humidity 8544 %, status 0x00, RSSI -120 dBm, SNR -2 dB, good/bad packets: 27/22
