17:48:52.661 -> Hello, node 1, message 1, tx time 0 ms, battery 357, RSSI -98 dBm, SNR 9 dB, good/bad packets: 390/7
17:48:58.722 -> Hello, node 1, message 2, tx time 404 ms, battery 358, RSSI -91 dBm, SNR 9 dB, good/bad packets: 391/7
17:49:04.785 -> Hello, node 1, message 3, tx time 405 ms, battery 358, RSSI -92 dBm, SNR 10 dB, good/bad packets: 392/7
17:49:10.844 -> Hello, node 1, message 4, tx time 405 ms, battery 362, RSSI -102 dBm, SNR 8 dB, good/bad packets: 393/7
17:49:16.928 -> Hello, node 1, message 5, tx time 406 ms, battery 362, RSSI -92 dBm, SNR 10 dB, good/bad packets: 394/7
17:49:22.990 -> Hello, node 1, message 6, tx time 406 ms, battery 360, RSSI -102 dBm, SNR 9 dB, good/bad packets: 395/7
17:49:29.054 -> Hello, node 1, message 7, tx time 406 ms, battery 363, RSSI -111 dBm, SNR 6 dB, good/bad packets: 396/7
17:49:35.118 -> Hello, node 1, message 8, tx time 405 ms, battery 362, RSSI -112 dBm, SNR 5 dB, good/bad packets: 397/7
17:49:41.174 -> Hello, node 1, message 9, tx time 405 ms, battery 363, RSSI -111 dBm, SNR 4 dB, good/bad packets: 398/7
17:49:47.236 -> Hello, node 1, message 10, tx time 406 ms, battery 363, RSSI -113 dBm, SNR 4 dB, good/bad packets: 399/7
17:49:53.290 -> Hello, node 1, message 11, tx time 404 ms, battery 363, RSSI -108 dBm, SNR 7 dB, good/bad packets: 400/7
17:49:59.374 -> Hello, node 1, message 12, tx time 404 ms, battery 360, RSSI -105 dBm, SNR 9 dB, good/bad packets: 401/7
17:50:05.433 -> Hello, node 1, message 13, tx time 403 ms, battery 363, RSSI -84 dBm, SNR 9 dB, good/bad packets: 402/7
17:50:11.501 -> Hello, node 1, message 14, tx time 403 ms, battery 364, RSSI -82 dBm, SNR 9 dB, good/bad packets: 403/7
17:50:17.551 -> Hello, node 1, message 15, tx time 403 ms, battery 363, RSSI -91 dBm, SNR 10 dB, good/bad packets: 404/7
17:50:23.591 -> Hello, node 1, message 16, tx time 404 ms, battery 364, RSSI -89 dBm, SNR 9 dB, good/bad packets: 405/7
17:50:29.693 -> Hello, node 1, message 17, tx time 404 ms, battery 362, RSSI -86 dBm, SNR 10 dB, good/bad packets: 406/7
17:50:35.732 -> Hello, node 1, message 18, tx time 404 ms, battery 363, RSSI -97 dBm, SNR 9 dB, good/bad packets: 407/7
17:50:41.814 -> Hello, node 1, message 19, tx time 403 ms, battery 363, RSSI -98 dBm, SNR 9 dB, good/bad packets: 408/7
17:50:47.866 -> Hello, node 1, message 20, tx time 403 ms, battery 363, RSSI -98 dBm, SNR 9 dB, good/bad packets: 409/7
17:50:53.950 -> Hello, node 1, message 21, tx time 403 ms, battery 363, RSSI -100 dBm, SNR 10 dB, good/bad packets: 410/7
