Time,Tx ms, RSSI dBm, SNR dB
17:28:08.979,0,-34,8
17:28:11.509,0,-38,10
17:28:18.775,0,-34,7
17:28:24.863,404,-42,8
17:28:27.270,0,-43,10
17:28:33.356,404,-55,9
17:28:39.326,0,-45,10
17:28:45.410,404,-48,9
17:28:51.509,403,-47,9
17:28:57.590,403,-47,9
17:29:03.649,403,-44,10
17:29:09.721,404,-45,9
17:29:15.809,404,-45,10
17:29:21.898,404,-45,10
17:29:27.973,403,-48,9
17:29:34.040,403,-41,10
17:29:40.121,403,-47,10
17:29:46.183,404,-45,9
17:29:49.161,0,-60,9
17:29:52.260,404,-44,9
17:29:55.512,905,-67,10
17:29:58.350,404,-45,9
17:30:01.361,1208,-70,9
17:30:04.432,403,-27,9
17:30:07.147,1005,-70,9
17:30:10.500,403,-31,9
17:30:13.430,704,-67,10
17:30:16.577,403,-34,10
17:30:19.868,908,-55,9
17:30:22.632,403,-34,9
17:30:28.734,404,-28,10
17:30:34.787,404,-28,10
17:30:40.883,403,-33,10
17:30:46.964,403,-33,10
17:30:53.053,403,-40,10
17:30:59.112,403,-48,9
17:31:05.183,404,-44,9
17:31:11.271,404,-49,9
17:31:17.360,404,-51,9
17:31:23.418,403,-51,10
17:31:29.513,403,-43,9
17:31:35.589,403,-43,10
17:31:41.647,404,-65,9
17:31:47.717,404,-75,10
17:31:53.788,404,-86,10
17:31:59.880,403,-95,9

# This maybe the point where the sensors were burried.

17:32:05.946,403,-105,8
17:32:12.016,403,-107,7
17:32:18.098,404,-103,9
17:32:24.165,404,-105,8
17:32:30.263,404,-104,9
17:32:36.331,403,-106,8
17:32:42.423,403,-104,9
17:32:48.500,403,-106,8
17:32:54.575,403,-123,-2
17:33:00.659,404,-101,9
17:33:06.732,404,-125,-4
17:33:12.801,403,-123,-2
17:33:18.891,403,-124,-3
17:33:24.959,403,-105,8
17:33:31.023,403,-105,9
17:33:37.126,404,-105,8
17:33:43.189,404,-105,8
17:33:49.270,404,-105,8
17:33:55.327,403,-127,-6
17:34:01.427,403,-105,8
17:34:07.500,403,-105,8
17:34:13.556,404,-105,8
17:34:19.652,404,-106,9
17:34:25.738,404,-105,8

# nodes definitely buried

17:40:24.278,401,-107,8
17:40:30.359,401,-112,6
17:40:36.453,402,-115,3
17:40:42.542,402,-108,7
17:40:48.611,401,-108,8
17:40:54.690,401,-108,8
17:41:00.765,401,-109,7
17:41:06.835,403,-108,8
17:41:12.913,404,-109,8
17:41:18.999,404,-108,7
17:41:25.087,401,-107,8
17:41:31.147,401,-108,8
17:41:37.240,403,-109,8
17:41:43.326,401,-109,6
17:41:49.376,402,-109,7
17:41:55.464,402,-109,7

# taking nodes out of the ground

17:40:24.278,401,-107,8
17:40:30.359,401,-112,6
17:40:36.453,402,-115,3
17:40:42.542,402,-108,7
17:40:48.611,401,-108,8
17:40:54.690,401,-108,8
17:41:00.765,401,-109,7
17:41:06.835,403,-108,8
17:41:12.913,404,-109,8
17:41:18.999,404,-108,7
17:41:25.087,401,-107,8
17:41:31.147,401,-108,8
17:41:37.240,403,-109,8
17:41:43.326,401,-109,6
17:41:49.376,402,-109,7
17:41:55.464,402,-109,7
17:42:01.545,402,-112,6
17:42:07.628,401,-122,-2
17:42:19.777,401,-114,4
17:42:25.863,402,-109,7
17:42:31.934,404,-114,4
17:42:38.008,402,-113,5
17:42:44.105,403,-112,6
17:42:50.154,401,-112,6
17:42:56.233,403,-112,5
17:43:02.350,401,-115,3
17:43:08.423,402,-116,0
17:43:14.472,402,-112,5
17:43:20.577,401,-106,8
17:43:26.648,403,-114,4
17:43:32.706,401,-106,8
17:43:38.804,401,-107,8
17:43:44.870,404,-106,8
17:43:50.978,402,-109,7
17:43:57.022,401,-106,8
17:44:03.111,401,-106,8
17:44:09.175,401,-108,7
17:44:15.283,401,-112,6
17:44:21.367,402,-108,7
17:44:27.450,404,-116,2
17:44:33.499,402,-109,7
17:44:39.582,401,-105,8
17:44:45.665,401,-108,7
17:44:51.744,401,-113,4
17:44:57.833,404,-123,-3
17:45:03.915,402,-117,0
17:45:09.988,402,-116,0
17:45:16.071,401,-113,4
17:45:22.121,401,-116,0
17:45:28.217,403,-113,2
17:45:34.304,403,-115,1
17:45:40.375,404,-115,1
17:45:46.452,402,-113,3
17:45:52.546,401,-113,4
17:45:58.605,403,-107,7
17:46:04.673,403,-108,7
17:46:10.777,403,-103,9
17:46:16.824,404,-113,4

# restart node 2

17:46:18.925,0,-106,8
17:46:24.994,404,-107,7
17:46:31.079,403,-98,10
17:46:37.174,403,-96,9
17:46:43.243,403,-99,9
17:46:49.311,404,-102,9
17:46:55.396,404,-101,9
17:47:01.449,404,-111,6
17:47:04.456,0,-107,8
17:47:10.548,404,-92,9
17:47:16.608,403,-85,9
17:47:22.694,403,-81,10
17:47:27.449,0,-87,9
17:47:33.523,404,-89,9
17:47:39.601,403,-83,9
17:47:45.649,403,-84,9
17:47:51.733,403,-83,9
17:47:57.812,404,-82,9
