17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:28:13.450 -> Hello, node 3, message 1, tx time 0 ms, battery 347, RSSI -40 dBm, SNR 10 dB, good/bad packets: 3/0
17:28:27.796 -> Hello, node 3, message 1, tx time 0 ms, battery 334, RSSI -39 dBm, SNR 9 dB, good/bad packets: 7/0
17:28:34.172 -> Hello, node 3, message 2, tx time 907 ms, battery 333, RSSI -40 dBm, SNR 11 dB, good/bad packets: 9/0
17:28:41.562 -> Hello, node 3, message 1, tx time 0 ms, battery 345, RSSI -40 dBm, SNR 9 dB, good/bad packets: 11/0
17:28:47.658 -> Hello, node 3, message 2, tx time 404 ms, battery 344, RSSI -40 dBm, SNR 10 dB, good/bad packets: 13/0
17:28:53.736 -> Hello, node 3, message 3, tx time 403 ms, battery 344, RSSI -39 dBm, SNR 10 dB, good/bad packets: 15/0
17:28:59.799 -> Hello, node 3, message 4, tx time 403 ms, battery 343, RSSI -39 dBm, SNR 9 dB, good/bad packets: 17/0
17:29:05.891 -> Hello, node 3, message 5, tx time 403 ms, battery 343, RSSI -38 dBm, SNR 9 dB, good/bad packets: 19/0
17:29:11.959 -> Hello, node 3, message 6, tx time 404 ms, battery 343, RSSI -39 dBm, SNR 10 dB, good/bad packets: 21/0
17:29:18.024 -> Hello, node 3, message 7, tx time 404 ms, battery 342, RSSI -38 dBm, SNR 10 dB, good/bad packets: 23/0
17:29:24.089 -> Hello, node 3, message 8, tx time 404 ms, battery 342, RSSI -39 dBm, SNR 9 dB, good/bad packets: 25/0
17:29:30.191 -> Hello, node 3, message 9, tx time 403 ms, battery 342, RSSI -40 dBm, SNR 9 dB, good/bad packets: 27/0
17:29:36.263 -> Hello, node 3, message 10, tx time 403 ms, battery 342, RSSI -41 dBm, SNR 10 dB, good/bad packets: 29/0
17:29:42.345 -> Hello, node 3, message 11, tx time 403 ms, battery 341, RSSI -41 dBm, SNR 9 dB, good/bad packets: 31/0
17:29:48.398 -> Hello, node 3, message 12, tx time 404 ms, battery 341, RSSI -39 dBm, SNR 10 dB, good/bad packets: 33/0
17:29:49.161 -> Hello, node 1, message 1, tx time 0 ms, battery 362, RSSI -60 dBm, SNR 9 dB, good/bad packets: 34/0
17:29:54.496 -> Hello, node 3, message 13, tx time 404 ms, battery 341, RSSI -39 dBm, SNR 10 dB, good/bad packets: 36/0
17:29:55.512 -> Hello, node 1, message 2, tx time 905 ms, battery 362, RSSI -67 dBm, SNR 10 dB, good/bad packets: 37/0
17:30:00.572 -> Hello, node 3, message 14, tx time 404 ms, battery 340, RSSI -41 dBm, SNR 10 dB, good/bad packets: 39/0
17:30:01.361 -> Hello, node 1, message 3, tx time 1208 ms, battery 355, RSSI -70 dBm, SNR 9 dB, good/bad packets: 40/0
17:30:06.667 -> Hello, node 3, message 15, tx time 403 ms, battery 340, RSSI -43 dBm, SNR 10 dB, good/bad packets: 42/0
17:30:07.147 -> Hello, node 1, message 4, tx time 1005 ms, battery 356, RSSI -70 dBm, SNR 9 dB, good/bad packets: 43/0
17:30:12.744 -> Hello, node 3, message 16, tx time 403 ms, battery 340, RSSI -44 dBm, SNR 9 dB, good/bad packets: 45/0
17:30:13.430 -> Hello, node 1, message 5, tx time 704 ms, battery 363, RSSI -67 dBm, SNR 10 dB, good/bad packets: 46/0
17:30:18.815 -> Hello, node 3, message 17, tx time 403 ms, battery 340, RSSI -44 dBm, SNR 9 dB, good/bad packets: 48/0
17:30:19.868 -> Hello, node 1, message 6, tx time 908 ms, battery 362, RSSI -55 dBm, SNR 9 dB, good/bad packets: 49/0
