17:40:20.410 -> Hello, node 3, message 116, tx time 403 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 242/3
17:40:24.278 -> Hello, node 2, message 117, tx time 401 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 243/3
17:40:26.488 -> Hello, node 3, message 117, tx time 401 ms, battery 336, RSSI -112 dBm, SNR 5 dB, good/bad packets: 244/3
17:40:30.359 -> Hello, node 2, message 118, tx time 401 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 245/3
17:40:32.563 -> Hello, node 3, message 118, tx time 403 ms, battery 336, RSSI -116 dBm, SNR 1 dB, good/bad packets: 246/3
17:40:36.453 -> Hello, node 2, message 119, tx time 402 ms, battery 341, RSSI -115 dBm, SNR 3 dB, good/bad packets: 247/3
17:40:38.635 -> Hello, node 3, message 119, tx time 404 ms, battery 336, RSSI -117 dBm, SNR 0 dB, good/bad packets: 248/3
17:40:42.542 -> Hello, node 2, message 120, tx time 402 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 249/3
17:40:44.737 -> Hello, node 3, message 120, tx time 402 ms, battery 336, RSSI -113 dBm, SNR 5 dB, good/bad packets: 250/3
17:40:48.611 -> Hello, node 2, message 121, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 8 dB, good/bad packets: 251/3
17:40:50.793 -> Hello, node 3, message 121, tx time 403 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 252/3
17:40:54.690 -> Hello, node 2, message 122, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 8 dB, good/bad packets: 253/3
17:40:56.892 -> Hello, node 3, message 122, tx time 401 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 254/3
17:41:00.765 -> Hello, node 2, message 123, tx time 401 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 255/3
17:41:02.941 -> Hello, node 3, message 123, tx time 401 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 256/3
17:41:06.835 -> Hello, node 2, message 124, tx time 403 ms, battery 341, RSSI -108 dBm, SNR 8 dB, good/bad packets: 257/3
17:41:09.088 -> Hello, node 3, message 124, tx time 401 ms, battery 336, RSSI -113 dBm, SNR 5 dB, good/bad packets: 258/3
17:41:12.913 -> Hello, node 2, message 125, tx time 404 ms, battery 341, RSSI -109 dBm, SNR 8 dB, good/bad packets: 259/3
17:41:15.114 -> Hello, node 3, message 125, tx time 402 ms, battery 336, RSSI -112 dBm, SNR 6 dB, good/bad packets: 260/3
17:41:18.999 -> Hello, node 2, message 126, tx time 404 ms, battery 341, RSSI -108 dBm, SNR 7 dB, good/bad packets: 261/3
17:41:21.174 -> Hello, node 3, message 126, tx time 402 ms, battery 336, RSSI -111 dBm, SNR 4 dB, good/bad packets: 262/3
17:41:25.087 -> Hello, node 2, message 127, tx time 401 ms, battery 341, RSSI -107 dBm, SNR 8 dB, good/bad packets: 263/3
17:41:27.260 -> Hello, node 3, message 127, tx time 401 ms, battery 336, RSSI -111 dBm, SNR 7 dB, good/bad packets: 264/3
17:41:31.147 -> Hello, node 2, message 128, tx time 401 ms, battery 341, RSSI -108 dBm, SNR 8 dB, good/bad packets: 265/3
17:41:33.363 -> Hello, node 3, message 128, tx time 401 ms, battery 336, RSSI -111 dBm, SNR 7 dB, good/bad packets: 266/3
17:41:37.240 -> Hello, node 2, message 129, tx time 403 ms, battery 341, RSSI -109 dBm, SNR 8 dB, good/bad packets: 267/3
17:41:39.417 -> Hello, node 3, message 129, tx time 401 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 268/3
17:41:43.326 -> Hello, node 2, message 130, tx time 401 ms, battery 341, RSSI -109 dBm, SNR 6 dB, good/bad packets: 269/3
17:41:45.500 -> Hello, node 3, message 130, tx time 401 ms, battery 336, RSSI -114 dBm, SNR 5 dB, good/bad packets: 270/3
17:41:49.376 -> Hello, node 2, message 131, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 271/3
17:41:51.567 -> Hello, node 3, message 131, tx time 402 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 272/3
17:41:55.464 -> Hello, node 2, message 132, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 273/3
17:41:57.642 -> Hello, node 3, message 132, tx time 402 ms, battery 336, RSSI -113 dBm, SNR 5 dB, good/bad packets: 274/3
17:42:01.545 -> Hello, node 2, message 133, tx time 402 ms, battery 341, RSSI -112 dBm, SNR 6 dB, good/bad packets: 275/3
17:42:03.766 -> Hello, node 3, message 133, tx time 402 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 276/3
17:42:07.628 -> Hello, node 2, message 134, tx time 401 ms, battery 341, RSSI -122 dBm, SNR -2 dB, good/bad packets: 277/3
17:42:09.835 -> Hello, node 3, message 134, tx time 401 ms, battery 336, RSSI -108 dBm, SNR 7 dB, good/bad packets: 278/3
17:42:15.903 -> Hello, node 3, message 135, tx time 401 ms, battery 336, RSSI -113 dBm, SNR 5 dB, good/bad packets: 279/3
17:42:19.777 -> Hello, node 2, message 136, tx time 401 ms, battery 341, RSSI -114 dBm, SNR 4 dB, good/bad packets: 280/3
17:42:21.979 -> Hello, node 3, message 136, tx time 401 ms, battery 336, RSSI -115 dBm, SNR 3 dB, good/bad packets: 281/3
17:42:25.863 -> Hello, node 2, message 137, tx time 402 ms, battery 341, RSSI -109 dBm, SNR 7 dB, good/bad packets: 282/3
17:42:28.063 -> Hello, node 3, message 137, tx time 404 ms, battery 336, RSSI -114 dBm, SNR 4 dB, good/bad packets: 283/3
17:42:31.934 -> Hello, node 2, message 138, tx time 404 ms, battery 341, RSSI -114 dBm, SNR 4 dB, good/bad packets: 284/3
17:42:34.117 -> Hello, node 3, message 138, tx time 404 ms, battery 336, RSSI -116 dBm, SNR 2 dB, good/bad packets: 285/3
17:42:38.008 -> Hello, node 2, message 139, tx time 402 ms, battery 341, RSSI -113 dBm, SNR 5 dB, good/bad packets: 286/3
17:42:40.203 -> Hello, node 3, message 139, tx time 404 ms, battery 336, RSSI -113 dBm, SNR 6 dB, good/bad packets: 287/3
