d packets: 182/0
request: node: 1, message: 183, time: 1599860928, Vbat 355 v, Tx dur 64 ms, T: -586 C, RH: 2092 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 183/0
request: node: 1, message: 184, time: 1599860934, Vbat 354 v, Tx dur 64 ms, T: -595 C, RH: 2093 %, status: 0x00, RSSI -104 dBm, SNR 9 dB, good/bad packets: 184/0
request: node: 1, message: 185, time: 1599860939, Vbat 354 v, Tx dur 64 ms, T: -607 C, RH: 2100 %, status: 0x00, RSSI -102 dBm, SNR 8 dB, good/bad packets: 185/0
request: node: 1, message: 186, time: 1599860944, Vbat 354 v, Tx dur 64 ms, T: -617 C, RH: 2104 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 186/0
request: node: 1, message: 187, time: 1599860949, Vbat 354 v, Tx dur 64 ms, T: -625 C, RH: 2107 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 187/0
request: node: 1, message: 188, time: 1599860954, Vbat 354 v, Tx dur 64 ms, T: -638 C, RH: 2116 %, status: 0x00, RSSI -103 dBm, SNR 10 dB, good/bad packets: 188/0
request: node: 1, message: 189, time: 1599860959, Vbat 354 v, Tx dur 65 ms, T: -644 C, RH: 2124 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 189/0
request: node: 1, message: 190, time: 1599860964, Vbat 354 v, Tx dur 64 ms, T: -653 C, RH: 2128 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 190/0
request: node: 1, message: 191, time: 1599860969, Vbat 355 v, Tx dur 64 ms, T: -663 C, RH: 2134 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 191/0
request: node: 1, message: 192, time: 1599860974, Vbat 354 v, Tx dur 64 ms, T: -673 C, RH: 2141 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 192/0
request: node: 1, message: 193, time: 1599860979, Vbat 354 v, Tx dur 64 ms, T: -686 C, RH: 2147 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 193/0
request: node: 1, message: 194, time: 1599860984, Vbat 355 v, Tx dur 64 ms, T: -690 C, RH: 2157 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 194/0
request: node: 1, message: 195, time: 1599860989, Vbat 355 v, Tx dur 65 ms, T: -699 C, RH: 2161 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 195/0
request: node: 1, message: 196, time: 1599860994, Vbat 355 v, Tx dur 64 ms, T: -707 C, RH: 2167 %, status: 0x00, RSSI -103 dBm, SNR 10 dB, good/bad packets: 196/0
request: node: 1, message: 197, time: 1599860999, Vbat 355 v, Tx dur 64 ms, T: -718 C, RH: 2169 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 197/0
request: node: 1, message: 198, time: 1599861004, Vbat 354 v, Tx dur 65 ms, T: -727 C, RH: 2177 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 198/0
request: node: 1, message: 199, time: 1599861010, Vbat 355 v, Tx dur 64 ms, T: -734 C, RH: 2180 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 199/0
request: node: 1, message: 200, time: 1599861015, Vbat 355 v, Tx dur 64 ms, T: -742 C, RH: 2187 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 200/0
request: node: 1, message: 201, time: 1599861020, Vbat 354 v, Tx dur 64 ms, T: -751 C, RH: 2195 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 201/0
request: node: 1, message: 202, time: 1599861025, Vbat 354 v, Tx dur 64 ms, T: -759 C, RH: 2199 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 202/0
request: node: 1, message: 203, time: 1599861030, Vbat 355 v, Tx dur 64 ms, T: -766 C, RH: 2200 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 203/0
request: node: 1, message: 204, time: 1599861035, Vbat 355 v, Tx dur 65 ms, T: -775 C, RH: 2210 %, status: 0x00, RSSI -101 dBm, SNR 9 dB, good/bad packets: 204/0
request: node: 1, message: 205, time: 1599861040, Vbat 354 v, Tx dur 64 ms, T: -783 C, RH: 2216 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 205/0
request: node: 1, message: 206, time: 1599861045, Vbat 354 v, Tx dur 64 ms, T: -792 C, RH: 2220 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 206/0
request: node: 1, message: 207, time: 1599861050, Vbat 354 v, Tx dur 64 ms, T: -802 C, RH: 2234 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 207/0
request: node: 1, message: 208, time: 1599861055, Vbat 354 v, Tx dur 64 ms, T: -809 C, RH: 2235 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 208/0
request: node: 1, message: 209, time: 1599861060, Vbat 355 v, Tx dur 64 ms, T: -814 C, RH: 2237 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 209/0
request: node: 1, message: 210, time: 1599861065, Vbat 354 v, Tx dur 64 ms, T: -822 C, RH: 2246 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 210/0
request: node: 1, message: 211, time: 1599861070, Vbat 354 v, Tx dur 65 ms, T: -830 C, RH: 2253 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 211/0
request: node: 1, message: 212, time: 1599861075, Vbat 354 v, Tx dur 64 ms, T: -838 C, RH: 2259 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 212/0
request: node: 1, message: 213, time: 1599861080, Vbat 354 v, Tx dur 65 ms, T: -845 C, RH: 2266 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 213/0
request: node: 1, message: 214, time: 1599861085, Vbat 354 v, Tx dur 64 ms, T: -852 C, RH: 2270 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 214/0
request: node: 1, message: 215, time: 1599861091, Vbat 355 v, Tx dur 65 ms, T: -860 C, RH: 2277 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 215/0
request: node: 1, message: 216, time: 1599861096, Vbat 354 v, Tx dur 64 ms, T: -868 C, RH: 2281 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 216/0
request: node: 1, message: 217, time: 1599861101, Vbat 354 v, Tx dur 64 ms, T: -875 C, RH: 2287 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 217/0
request: node: 1, message: 218, time: 1599861106, Vbat 354 v, Tx dur 64 ms, T: -882 C, RH: 2295 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 218/0
request: node: 1, message: 219, time: 1599861111, Vbat 354 v, Tx dur 64 ms, T: -889 C, RH: 2303 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 219/0
request: node: 1, message: 220, time: 1599861116, Vbat 354 v, Tx dur 64 ms, T: -897 C, RH: 2308 %, status: 0x00, RSSI -102 dBm, SNR 10 dB, good/bad packets: 220/0
request: node: 1, message: 221, time: 1599861121, Vbat 354 v, Tx dur 64 ms, T: -903 C, RH: 2312 %, status: 0x00, RSSI -102 dBm, SNR 9 dB, good/bad packets: 221/0
request: node: 1, message: 222, time: 1599861126, Vbat 354 v, Tx dur 64 ms, T: -910 C, RH: 2319 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 222/0
request: node: 1, message: 223, time: 1599861131, Vbat 354 v, Tx dur 64 ms, T: -920 C, RH: 2314 %, status: 0x00, RSSI -103 dBm, SNR 9 dB, good/bad packets: 223/0
