Hello, this is device 2, tx time 0 ms,-48,9
Hello, this is device 1, tx time 0 ms,-43,9
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 2, tx time 401 ms,-48,9
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 1, tx time 802 ms,-43,9
Hello, this is device 2, tx time 401 ms,-47,8
Hello, this is device 1, tx time 804 ms,-43,9
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 1, tx time 805 ms,-43,9
Hello, this is device 1, tx time 805 ms,-36,0
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 2, tx time 401 ms,-49,9
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 1, tx time 803 ms,-43,9
Hello, this is device 2, tx time 403 ms,-49,9
Hello, this is device 1, tx time 805 ms,-42,9
Hello, this is device 1, tx time 805 ms,-43,9
Hello, this is device 2, tx time 404 ms,-45,9
Hello, this is device 1, tx time 803 ms,-42,9
Hello, this is device 1, tx time 805 ms,-42,9
Hello, this is device 2, tx time 401 ms,-47,8
Hello, this is device 1, tx time 805 ms,-42,9
Hello, this is device 1, tx time 803 ms,-42,9
Hello, this is device 1, tx time 805 ms,-42,9
Hello, this is device 1, tx time 805 ms,-34,1
Hello, this is device 1, tx time 803 ms,-42,9
Hello, this is device 1, tx time 801 ms,-47,9
