Hello, this is device 1, message 59, tx time 405 ms,-48,9
Hello, this is device 1, message 60, tx time 404 ms,-48,9
Hello, this is device 1, message 61, tx time 403 ms,-49,9
Hello, this is device 1, message 62, tx time 404 ms,-45,9
Hello, this is device 1, message 63, tx time 405 ms,-47,8
Hello, this is device 1, message 64, tx time 404 ms,-48,9
Hello, this is device 1, message 65, tx time 403 ms,-47,9
Hello, this is device 1, message 66, tx time 404 ms,-45,9
Hello, this is device 1, message 67, tx time 403 ms,-45,9
Hello, this is device 1, message 68, tx time 406 ms,-45,9
Hello, this is device 1, message 69, tx time 403 ms,-44,9
Hello, this is device 1, message 70, tx time 404 ms,-45,9
Hello, this is device 1, message 71, tx time 403 ms,-45,8
Hello, this is device 1, message 72, tx time 406 ms,-45,9
Hello, this is device 1, message 73, tx time 403 ms,-45,9
Hello, this is device 1, message 74, tx time 404 ms,-45,9
Hello, this is device 1, message 75, tx time 403 ms,-45,9
Hello, this is device 1, message 76, tx time 404 ms,-45,9
Hello, this is device 1, message 77, tx time 405 ms,-44,9
Hello, this is device 1, message 78, tx time 404 ms,-44,9
Hello, this is device 1, message 79, tx time 403 ms,-45,10
Hello, this is device 1, message 80, tx time 404 ms,-45,9
Hello, this is device 1, message 81, tx time 405 ms,-45,9
Hello, this is device 1, message 82, tx time 404 ms,-45,9
Hello, this is device 1, message 83, tx time 403 ms,-45,9
Hello, this is device 1, message 84, tx time 403 ms,-44,9
Hello, this is device 1, message 85, tx time 404 ms,-44,9
Hello, this is device 1, message 86, tx time 405 ms,-44,9
Hello, this is device 1, message 87, tx time 404 ms,-44,9
Hello, this is device 1, message 88, tx time 403 ms,-44,9
Hello, this is device 1, message 89, tx time 404 ms,-44,9
Hello, this is device 1, message 90, tx time 405 ms,-44,9
Hello, this is device 1, message 91, tx time 404 ms,-44,9
Hello, this is device 1, message 92, tx time 403 ms,-44,9
Hello, this is device 1, message 93, tx time 404 ms,-44,9
Hello, this is device 1, message 94, tx time 405 ms,-44,9
Hello, this is device 1, message 95, tx time 406 ms,-45,9
Hello, this is device 1, message 96, tx time 403 ms,-44,9
Hello, this is device 1, message 97, tx time 404 ms,-44,9
Hello, this is device 1, message 98, tx time 403 ms,-44,9
Hello, this is device 1, message 99, tx time 406 ms,-44,9
Hello, this is device 1, message 100, tx time 403 ms,-45,9
Hello, this is device 1, message 101, tx time 404 ms,-44,9
Hello, this is device 1, message 102, tx time 403 ms,-45,9
Hello, this is device 1, message 103, tx time 406 ms,-45,9
Hello, this is device 1, message 104, tx time 403 ms,-44,9
Hello, this is device 1, message 105, tx time 404 ms,-45,9
Hello, this is device 1, message 106, tx time 403 ms,-45,9
Hello, this is device 1, message 107, tx time 406 ms,-45,9
Hello, this is device 1, message 108, tx time 403 ms,-44,9
Hello, this is device 1, message 109, tx time 404 ms,-45,9
Hello, this is device 1, message 110, tx time 403 ms,-45,10
Hello, this is device 1, message 111, tx time 406 ms,-45,9
Hello, this is device 1, message 112, tx time 403 ms,-45,9
Hello, this is device 1, message 113, tx time 404 ms,-45,9
Hello, this is device 1, message 114, tx time 403 ms,-47,9
Hello, this is device 1, message 115, tx time 404 ms,-47,9
Hello, this is device 1, message 116, tx time 405 ms,-45,9
Hello, this is device 1, message 117, tx time 404 ms,-48,9
Hello, this is device 1, message 118, tx time 403 ms,-49,9
Hello, this is device 1, message 119, tx time 404 ms,-48,9
Hello, this is device 1, message 120, tx time 405 ms,-49,9
Hello, this is device 1, message 121, tx time 404 ms,-49,9
Hello, this is device 1, message 122, tx time 403 ms,-49,9
Hello, this is device 1, message 123, tx time 403 ms,-49,9
Hello, this is device 1, message 124, tx time 406 ms,-48,9
Hello, this is device 1, message 125, tx time 403 ms,-47,9
