Start receiveer
Listening on frequency: 915.00
Hello, this is device 2, message 1, tx time 0 ms,-36,9
Hello, this is device 1, message 1, tx time 0 ms,-45,9
Hello, this is device 2, message 2, tx time 405 ms,-37,9
Hello, this is device 1, message 2, tx time 405 ms,-44,9
Hello, this is device 2, message 3, tx time 401 ms,-35,9
Hello, this is device 1, message 3, tx time 405 ms,-44,9
Hello, this is device 2, message 4, tx time 402 ms,-36,9
Hello, this is device 1, message 4, tx time 404 ms,-43,9
Hello, this is device 2, message 5, tx time 401 ms,-37,9
Hello, this is device 1, message 5, tx time 403 ms,-44,9
Hello, this is device 2, message 6, tx time 403 ms,-36,9
Hello, this is device 1, message 6, tx time 406 ms,-44,9
Hello, this is device 2, message 7, tx time 406 ms,-37,9
Hello, this is device 1, message 7, tx time 404 ms,-44,9
Hello, this is device 2, message 8, tx time 403 ms,-36,9
Hello, this is device 1, message 8, tx time 403 ms,-44,9
Hello, this is device 2, message 9, tx time 404 ms,-36,9
Hello, this is device 1, message 9, tx time 404 ms,-44,9
Hello, this is device 2, message 10, tx time 406 ms,-36,9
Hello, this is device 1, message 10, tx time 405 ms,-44,9
Hello, this is device 2, message 11, tx time 401 ms,-36,9
Hello, this is device 1, message 11, tx time 403 ms,-43,9
Hello, this is device 2, message 12, tx time 406 ms,-36,9
Hello, this is device 1, message 12, tx time 404 ms,-43,9
Hello, this is device 2, message 13, tx time 403 ms,-36,9
Hello, this is device 1, message 13, tx time 405 ms,-44,9
Hello, this is device 2, message 14, tx time 405 ms,-37,9
Hello, this is device 1, message 14, tx time 403 ms,-44,10
Hello, this is device 2, message 15, tx time 404 ms,-36,8
Hello, this is device 1, message 15, tx time 404 ms,-44,9
Hello, this is device 2, message 16, tx time 405 ms,-37,9
Hello, this is device 1, message 16, tx time 405 ms,-44,9
Hello, this is device 2, message 17, tx time 404 ms,-36,9
Hello, this is device 1, message 17, tx time 403 ms,-44,9
Hello, this is device 2, message 18, tx time 406 ms,-36,8
Hello, this is device 1, message 18, tx time 404 ms,-44,9
Hello, this is device 2, message 19, tx time 403 ms,-37,9
Hello, this is device 1, message 19, tx time 405 ms,-44,9
Hello, this is device 2, message 20, tx time 406 ms,-36,9
Hello, this is device 1, message 20, tx time 403 ms,-44,10
Hello, this is device 2, message 21, tx time 403 ms,-37,8
Hello, this is device 1, message 21, tx time 404 ms,-44,10
Hello, this is device 2, message 22, tx time 405 ms,-36,9
Hello, this is device 1, message 22, tx time 405 ms,-45,9
Hello, this is device 2, message 23, tx time 402 ms,-36,8
Hello, this is device 1, message 23, tx time 403 ms,-44,9
Hello, this is device 2, message 24, tx time 405 ms,-36,9
Hello, this is device 1, message 24, tx time 404 ms,-44,9
Hello, this is device 2, message 25, tx time 401 ms,-36,9
Hello, this is device 1, message 25, tx time 405 ms,-44,9
Hello, this is device 2, message 26, tx time 402 ms,-36,9
Hello, this is device 1, message 26, tx time 403 ms,-43,9
Hello, this is device 2, message 27, tx time 401 ms,-36,9
Hello, this is device 1, message 27, tx time 404 ms,-43,9
Hello, this is device 2, message 28, tx time 403 ms,-37,11
Hello, this is device 1, message 28, tx time 405 ms,-44,9
Hello, this is device 2, message 29, tx time 406 ms,-36,9
Hello, this is device 1, message 29, tx time 404 ms,-44,9
Hello, this is device 2, message 30, tx time 403 ms,-36,9
Hello, this is device 1, message 30, tx time 406 ms,-44,9
Hello, this is device 2, message 31, tx time 406 ms,-38,8
Hello, this is device 1, message 31, tx time 403 ms,-44,9
Hello, this is device 2, message 32, tx time 404 ms,-37,9
Hello, this is device 1, message 32, tx time 404 ms,-45,9
Hello, this is device 2, message 33, tx time 401 ms,-36,9
Hello, this is device 1, message 33, tx time 403 ms,-44,10
Hello, this is device 2, message 34, tx time 404 ms,-37,9
Hello, this is device 1, message 34, tx time 403 ms,-44,10
Hello, this is device 2, message 35, tx time 401 ms,-36,9
Hello, this is device 1, message 35, tx time 404 ms,-43,10
Hello, this is device 2, message 36, tx time 405 ms,-36,9
Hello, this is device 1, message 36, tx time 403 ms,-44,9
Hello, this is device 2, message 37, tx time 404 ms,-36,8
Hello, this is device 1, message 37, tx time 403 ms,-44,9
Hello, this is device 2, message 38, tx time 405 ms,-36,8
Hello, this is device 1, message 38, tx time 404 ms,-48,9
Hello, this is device 2, message 39, tx time 403 ms,-37,9
Hello, this is device 1, message 39, tx time 403 ms,-45,9
Hello, this is device 2, message 40, tx time 402 ms,-36,9
Hello, this is device 1, message 40, tx time 403 ms,-44,9
Hello, this is device 2, message 41, tx time 403 ms,-36,9
Hello, this is device 1, message 41, tx time 404 ms,-45,9
Hello, this is device 2, message 42, tx time 401 ms,-36,9
Hello, this is device 1, message 42, tx time 403 ms,-47,8
Hello, this is device 2, message 43, tx time 404 ms,-37,8
Hello, this is device 1, message 43, tx time 404 ms,-47,8
Hello, this is device 2, message 44, tx time 401 ms,-37,8
Hello, this is device 1, message 44, tx time 406 ms,-45,9
Hello, this is device 2, message 45, tx time 406 ms,-37,9
Hello, this is device 1, message 45, tx time 403 ms,-47,9
Hello, this is device 2, message 46, tx time 402 ms,-36,9
Hello, this is device 1, message 46, tx time 406 ms,-47,9
