Start receiveer
Listening on frequency: 915.00
Hello, node 3, message 2, tx time 404 ms, battery 340, RSSI-29 dBm, SNR 0 dB, good/bad packets: 1/1
Hello, node 3, message 3, tx time 403 ms, battery 340, RSSI-38 dBm, SNR -1 dB, good/bad packets: 2/1
Hello, node 3, message 6, tx time 404 ms, battery 339, RSSI-38 dBm, SNR -1 dB, good/bad packets: 3/3
Hello, node 3, message 7, tx time 404 ms, battery 339, RSSI-37 dBm, SNR -1 dB, good/bad packets: 4/3
Hello, node 3, message 8, tx time 404 ms, battery 338, RSSI-38 dBm, SNR 9 dB, good/bad packets: 5/3
Hello, node 2, message 8, tx time 404 ms, battery 343, RSSI-39 dBm, SNR 10 dB, good/bad packets: 6/3
Hello, node 2, message 1, tx time 0 ms, battery 343, RSSI-40 dBm, SNR 9 dB, good/bad packets: 7/3
Hello, node 3, message 9, tx time 403 ms, battery 338, RSSI-39 dBm, SNR 9 dB, good/bad packets: 8/3
Hello, node 2, message 2, tx time 404 ms, battery 342, RSSI-39 dBm, SNR 9 dB, good/bad packets: 9/3
Hello, node 3, message 10, tx time 403 ms, battery 337, RSSI-39 dBm, SNR 10 dB, good/bad packets: 10/3
Hello, node 2, message 3, tx time 403 ms, battery 342, RSSI-39 dBm, SNR 9 dB, good/bad packets: 11/3
Hello, node 3, message 11, tx time 403 ms, battery 337, RSSI-40 dBm, SNR 11 dB, good/bad packets: 12/3
Hello, node 2, message 4, tx time 403 ms, battery 342, RSSI-39 dBm, SNR 9 dB, good/bad packets: 13/3
Hello, node 3, message 12, tx time 404 ms, battery 337, RSSI-39 dBm, SNR 9 dB, good/bad packets: 14/3
Hello, node 2, message 5, tx time 403 ms, battery 342, RSSI-39 dBm, SNR 9 dB, good/bad packets: 15/3
Hello, node 3, message 13, tx time 404 ms, battery 337, RSSI-39 dBm, SNR 9 dB, good/bad packets: 16/3
Hello, node 2, message 6, tx time 404 ms, battery 341, RSSI-40 dBm, SNR 9 dB, good/bad packets: 17/3
Hello, node 3, message 14, tx time 404 ms, battery 336, RSSI-40 dBm, SNR 9 dB, good/bad packets: 18/3
Hello, node 2, message 7, tx time 404 ms, battery 341, RSSI-39 dBm, SNR 9 dB, good/bad packets: 19/3
Hello, node 3, message 15, tx time 403 ms, battery 336, RSSI-40 dBm, SNR 9 dB, good/bad packets: 20/3
Hello, node 2, message 8, tx time 404 ms, battery 341, RSSI-39 dBm, SNR 10 dB, good/bad packets: 21/3
Hello, node 3, message 16, tx time 403 ms, battery 336, RSSI-40 dBm, SNR 9 dB, good/bad packets: 22/3
Hello, node 2, message 9, tx time 403 ms, battery 341, RSSI-39 dBm, SNR 10 dB, good/bad packets: 23/3
Hello, node 3, message 17, tx time 403 ms, battery 336, RSSI-40 dBm, SNR 9 dB, good/bad packets: 24/3
Hello, node 2, message 10, tx time 403 ms, battery 341, RSSI-39 dBm, SNR 9 dB, good/bad packets: 25/3
Hello, node 3, message 18, tx time 403 ms, battery 336, RSSI-39 dBm, SNR 10 dB, good/bad packets: 26/3
Hello, node 2, message 11, tx time 403 ms, battery 341, RSSI-39 dBm, SNR 9 dB, good/bad packets: 27/3
Hello, node 3, message 19, tx time 404 ms, battery 336, RSSI-39 dBm, SNR 9 dB, good/bad packets: 28/3
Hello, node 2, message 12, tx time 404 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 29/3
Hello, node 3, message 20, tx time 404 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 30/3
Hello, node 2, message 13, tx time 404 ms, battery 340, RSSI-38 dBm, SNR 10 dB, good/bad packets: 31/3
Hello, node 3, message 21, tx time 403 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 32/3
Hello, node 2, message 14, tx time 404 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 33/3
Hello, node 3, message 22, tx time 403 ms, battery 335, RSSI-39 dBm, SNR 9 dB, good/bad packets: 34/3
Hello, node 2, message 15, tx time 403 ms, battery 340, RSSI-39 dBm, SNR 10 dB, good/bad packets: 35/3
Hello, node 3, message 23, tx time 403 ms, battery 335, RSSI-39 dBm, SNR 9 dB, good/bad packets: 36/3
Hello, node 2, message 16, tx time 403 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 37/3
Hello, node 3, message 24, tx time 403 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 38/3
Hello, node 2, message 17, tx time 403 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 39/3
Hello, node 3, message 25, tx time 404 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 40/3
Hello, node 2, message 18, tx time 403 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 41/3
Hello, node 3, message 26, tx time 404 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 42/3
Hello, node 2, message 19, tx time 404 ms, battery 340, RSSI-39 dBm, SNR 10 dB, good/bad packets: 43/3
Hello, node 3, message 27, tx time 404 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 44/3
Hello, node 2, message 20, tx time 404 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 45/3
Hello, node 3, message 28, tx time 403 ms, battery 335, RSSI-39 dBm, SNR 10 dB, good/bad packets: 46/3
Hello, node 2, message 21, tx time 403 ms, battery 340, RSSI-40 dBm, SNR 9 dB, good/bad packets: 47/3
Hello, node 3, message 29, tx time 403 ms, battery 335, RSSI-39 dBm, SNR 9 dB, good/bad packets: 48/3
Hello, node 2, message 22, tx time 403 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 49/3
Hello, node 3, message 30, tx time 403 ms, battery 335, RSSI-40 dBm, SNR 9 dB, good/bad packets: 50/3
Hello, node 2, message 23, tx time 403 ms, battery 340, RSSI-39 dBm, SNR 9 dB, good/bad packets: 51/3
Hello, node 3, message 31, tx time 404 ms, battery 335, RSSI-39 dBm, SNR 9 dB, good/bad packets: 52/3
Hello, node 2, message 24, tx time 403 ms, battery 340, RSSI-40 dBm, SNR 9 dB, good/bad packets: 53/3
Hello, node 3, message 32, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 54/3
Hello, node 2, message 25, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 55/3
Hello, node 3, message 33, tx time 903 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 56/3
Hello, node 2, message 26, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 57/3
Hello, node 3, message 34, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 58/3
Hello, node 2, message 27, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 59/3
Hello, node 3, message 35, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 60/3
Hello, node 2, message 28, tx time 403 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 61/3
Hello, node 3, message 36, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 62/3
Hello, node 2, message 29, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 63/3
Hello, node 3, message 37, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 64/3
Hello, node 2, message 30, tx time 403 ms, battery 339, RSSI-38 dBm, SNR 9 dB, good/bad packets: 65/3
Hello, node 3, message 38, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 66/3
Hello, node 2, message 31, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 67/3
Hello, node 3, message 39, tx time 404 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 68/3
Hello, node 2, message 32, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 69/3
Hello, node 3, message 40, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 70/3
Hello, node 2, message 33, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 71/3
Hello, node 3, message 41, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 72/3
Hello, node 2, message 34, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 8 dB, good/bad packets: 73/3
Hello, node 3, message 42, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 74/3
Hello, node 2, message 35, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 75/3
Hello, node 3, message 43, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 76/3
Hello, node 2, message 36, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 77/3
Hello, node 3, message 44, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 78/3
Hello, node 2, message 37, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 79/3
Hello, node 3, message 45, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 80/3
Hello, node 2, message 38, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 81/3
Hello, node 3, message 46, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 82/3
Hello, node 2, message 39, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 83/3
Hello, node 3, message 47, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 84/3
Hello, node 2, message 40, tx time 403 ms, battery 339, RSSI-40 dBm, SNR 9 dB, good/bad packets: 85/3
Hello, node 3, message 48, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 86/3
Hello, node 2, message 41, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 87/3
Hello, node 3, message 49, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 88/3
Hello, node 2, message 42, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 89/3
Hello, node 3, message 50, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 90/3
Hello, node 2, message 43, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 91/3
Hello, node 3, message 51, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 92/3
Hello, node 2, message 44, tx time 404 ms, battery 339, RSSI-40 dBm, SNR 11 dB, good/bad packets: 93/3
Hello, node 3, message 52, tx time 404 ms, battery 334, RSSI-39 dBm, SNR 9 dB, good/bad packets: 94/3
Hello, node 2, message 45, tx time 404 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 95/3
Hello, node 3, message 53, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 96/3
Hello, node 2, message 46, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 9 dB, good/bad packets: 97/3
Hello, node 3, message 54, tx time 403 ms, battery 334, RSSI-39 dBm, SNR 10 dB, good/bad packets: 98/3
Hello, node 2, message 47, tx time 403 ms, battery 339, RSSI-39 dBm, SNR 10 dB, good/bad packets: 99/3
Hello, node 3, message 55, tx time 403 ms, battery 334, RSSI-40 dBm, SNR 9 dB, good/bad packets: 100/3
