# Indoors, forcing collisions. S2 and 3 are almost completely in sync.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.


Start receiveer
Listening on frequency: 915.00
Hello, node 1, message 1, tx time 0 ms, battery 348, RSSI -48 dBm, SNR 9 dB, good/bad packets: 1/1
Hello, node 3, message 1, tx time 0 ms, battery 339, RSSI -42 dBm, SNR 10 dB, good/bad packets: 2/2
Hello, node 2, message 1, tx time 0 ms, battery 334, RSSI -42 dBm, SNR 9 dB, good/bad packets: 3/2
Hello, node 1, message 2, tx time 404 ms, battery 348, RSSI -47 dBm, SNR 9 dB, good/bad packets: 4/2
Hello, node 3, message 2, tx time 404 ms, battery 339, RSSI -44 dBm, SNR 10 dB, good/bad packets: 5/2
Hello, node 1, message 3, tx time 905 ms, battery 350, RSSI -49 dBm, SNR 9 dB, good/bad packets: 6/2
Hello, node 2, message 2, tx time 907 ms, battery 343, RSSI -43 dBm, SNR 9 dB, good/bad packets: 7/2
Hello, node 3, message 3, tx time 403 ms, battery 338, RSSI -43 dBm, SNR 10 dB, good/bad packets: 8/2
Hello, node 1, message 4, tx time 403 ms, battery 350, RSSI -50 dBm, SNR 9 dB, good/bad packets: 9/2
Hello, node 2, message 3, tx time 1808 ms, battery 343, RSSI -41 dBm, SNR 9 dB, good/bad packets: 10/2
Hello, node 3, message 4, tx time 403 ms, battery 338, RSSI -42 dBm, SNR 10 dB, good/bad packets: 11/2
Hello, node 1, message 5, tx time 403 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 12/2
Hello, node 2, message 4, tx time 2111 ms, battery 343, RSSI -41 dBm, SNR 9 dB, good/bad packets: 13/2
Hello, node 3, message 5, tx time 403 ms, battery 338, RSSI -43 dBm, SNR 9 dB, good/bad packets: 14/2
Hello, node 1, message 6, tx time 404 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 15/2
Hello, node 2, message 5, tx time 2009 ms, battery 342, RSSI -41 dBm, SNR 9 dB, good/bad packets: 16/2
Hello, node 3, message 6, tx time 404 ms, battery 338, RSSI -42 dBm, SNR 10 dB, good/bad packets: 17/2
Hello, node 1, message 7, tx time 404 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 18/2
Hello, node 2, message 6, tx time 1307 ms, battery 345, RSSI -41 dBm, SNR 9 dB, good/bad packets: 19/2
Hello, node 3, message 7, tx time 404 ms, battery 337, RSSI -42 dBm, SNR 9 dB, good/bad packets: 20/2
Hello, node 1, message 8, tx time 404 ms, battery 349, RSSI -50 dBm, SNR 9 dB, good/bad packets: 21/2
Hello, node 2, message 7, tx time 1610 ms, battery 332, RSSI -41 dBm, SNR 9 dB, good/bad packets: 22/2
Hello, node 3, message 8, tx time 404 ms, battery 337, RSSI -42 dBm, SNR 9 dB, good/bad packets: 23/2
Hello, node 2, message 8, tx time 2009 ms, battery 332, RSSI -41 dBm, SNR 9 dB, good/bad packets: 24/2
Hello, node 1, message 9, tx time 403 ms, battery 350, RSSI -50 dBm, SNR 9 dB, good/bad packets: 25/2
Hello, node 3, message 9, tx time 403 ms, battery 337, RSSI -43 dBm, SNR 9 dB, good/bad packets: 26/2
Hello, node 1, message 10, tx time 1206 ms, battery 351, RSSI -49 dBm, SNR 9 dB, good/bad packets: 27/2
Hello, node 2, message 9, tx time 809 ms, battery 331, RSSI -42 dBm, SNR 10 dB, good/bad packets: 28/2
Hello, node 3, message 10, tx time 403 ms, battery 337, RSSI -44 dBm, SNR 9 dB, good/bad packets: 29/2
Hello, node 1, message 11, tx time 403 ms, battery 351, RSSI -49 dBm, SNR 9 dB, good/bad packets: 30/2
Hello, node 2, message 10, tx time 2009 ms, battery 331, RSSI -42 dBm, SNR 9 dB, good/bad packets: 31/2
Hello, node 3, message 11, tx time 403 ms, battery 337, RSSI -43 dBm, SNR 9 dB, good/bad packets: 32/2
Hello, node 1, message 12, tx time 404 ms, battery 349, RSSI -52 dBm, SNR 9 dB, good/bad packets: 33/2
Hello, node 2, message 11, tx time 1409 ms, battery 331, RSSI -43 dBm, SNR 9 dB, good/bad packets: 34/2
Hello, node 3, message 12, tx time 404 ms, battery 336, RSSI -43 dBm, SNR 9 dB, good/bad packets: 35/2
Hello, node 2, message 12, tx time 1309 ms, battery 331, RSSI -43 dBm, SNR 9 dB, good/bad packets: 36/2
Hello, node 1, message 13, tx time 404 ms, battery 350, RSSI -50 dBm, SNR 9 dB, good/bad packets: 37/2
Hello, node 3, message 13, tx time 404 ms, battery 336, RSSI -43 dBm, SNR 9 dB, good/bad packets: 38/2
Hello, node 2, message 13, tx time 809 ms, battery 331, RSSI -43 dBm, SNR 9 dB, good/bad packets: 39/2
Hello, node 1, message 14, tx time 1006 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 40/2
Hello, node 3, message 14, tx time 404 ms, battery 336, RSSI -43 dBm, SNR 9 dB, good/bad packets: 41/2
Hello, node 2, message 14, tx time 903 ms, battery 331, RSSI -42 dBm, SNR 9 dB, good/bad packets: 42/2
Hello, node 1, message 15, tx time 1208 ms, battery 351, RSSI -50 dBm, SNR 9 dB, good/bad packets: 43/2
Hello, node 3, message 15, tx time 403 ms, battery 336, RSSI -42 dBm, SNR 10 dB, good/bad packets: 44/2
Hello, node 2, message 15, tx time 1106 ms, battery 330, RSSI -43 dBm, SNR 9 dB, good/bad packets: 45/2
Hello, node 1, message 16, tx time 1306 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 46/2
Hello, node 3, message 16, tx time 403 ms, battery 336, RSSI -43 dBm, SNR 9 dB, good/bad packets: 47/2
Hello, node 2, message 16, tx time 1106 ms, battery 330, RSSI -42 dBm, SNR 9 dB, good/bad packets: 48/2
Hello, node 1, message 17, tx time 2009 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 49/2
Hello, node 3, message 17, tx time 403 ms, battery 336, RSSI -43 dBm, SNR 9 dB, good/bad packets: 50/2
Hello, node 1, message 18, tx time 1507 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 51/2
Hello, node 2, message 17, tx time 1409 ms, battery 330, RSSI -43 dBm, SNR 9 dB, good/bad packets: 52/2
Hello, node 3, message 18, tx time 403 ms, battery 336, RSSI -43 dBm, SNR 10 dB, good/bad packets: 53/2
Hello, node 2, message 18, tx time 2009 ms, battery 330, RSSI -43 dBm, SNR 9 dB, good/bad packets: 54/2
Hello, node 1, message 19, tx time 506 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 55/2
Hello, node 3, message 19, tx time 404 ms, battery 336, RSSI -43 dBm, SNR 9 dB, good/bad packets: 56/2
Hello, node 2, message 19, tx time 1309 ms, battery 330, RSSI -43 dBm, SNR 9 dB, good/bad packets: 57/2
Hello, node 1, message 20, tx time 2009 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 58/2
Hello, node 1, message 21, tx time 1710 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 59/3
Hello, node 1, message 22, tx time 1206 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 60/4
Hello, node 3, message 22, tx time 403 ms, battery 335, RSSI -41 dBm, SNR -1 dB, good/bad packets: 61/4
Hello, node 1, message 23, tx time 1206 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 62/4
Hello, node 1, message 24, tx time 1206 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 63/5
Hello, node 1, message 25, tx time 607 ms, battery 352, RSSI -50 dBm, SNR 10 dB, good/bad packets: 64/6
Hello, node 1, message 26, tx time 1106 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 65/7
Hello, node 3, message 26, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 66/7
Hello, node 2, message 26, tx time 404 ms, battery 330, RSSI -43 dBm, SNR 9 dB, good/bad packets: 67/7
Hello, node 1, message 27, tx time 606 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 68/7
Hello, node 3, message 27, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 10 dB, good/bad packets: 69/7
Hello, node 2, message 27, tx time 911 ms, battery 330, RSSI -42 dBm, SNR 9 dB, good/bad packets: 70/7
Hello, node 1, message 28, tx time 1311 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 71/7
Hello, node 3, message 28, tx time 403 ms, battery 335, RSSI -42 dBm, SNR 10 dB, good/bad packets: 72/7
Hello, node 2, message 28, tx time 907 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 73/7
Hello, node 1, message 29, tx time 1808 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 74/7
Hello, node 3, message 29, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 75/7
Hello, node 2, message 29, tx time 907 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 76/7
Hello, node 1, message 30, tx time 1409 ms, battery 351, RSSI -50 dBm, SNR 9 dB, good/bad packets: 77/7
Hello, node 3, message 30, tx time 403 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 78/7
Hello, node 1, message 31, tx time 2010 ms, battery 352, RSSI -51 dBm, SNR 9 dB, good/bad packets: 79/7
Hello, node 2, message 30, tx time 1009 ms, battery 329, RSSI -43 dBm, SNR 9 dB, good/bad packets: 80/7
Hello, node 3, message 31, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 81/7
Hello, node 2, message 31, tx time 1512 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 82/7
Hello, node 1, message 32, tx time 707 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 83/7
Hello, node 3, message 32, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 9 dB, good/bad packets: 84/7
Hello, node 1, message 33, tx time 2112 ms, battery 351, RSSI -51 dBm, SNR 9 dB, good/bad packets: 85/7
Hello, node 2, message 32, tx time 1106 ms, battery 329, RSSI -42 dBm, SNR 9 dB, good/bad packets: 86/7
Hello, node 3, message 33, tx time 404 ms, battery 335, RSSI -43 dBm, SNR 10 dB, good/bad packets: 87/7
