# Nodes outside at S 1 and S 2,3 pos 2 with the server outside, line-of-sight to nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Hello, node 3, message 689, tx time 402 ms, battery 340, RSSI -106 dBm, SNR 1 dB, good/bad packets: 860/176
Hello, node 1, message 677, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 861/176
Hello, node 2, message 689, tx time 402 ms, battery 345, RSSI -97 dBm, SNR 9 dB, good/bad packets: 862/176
Hello, node 3, message 690, tx time 401 ms, battery 339, RSSI -114 dBm, SNR -3 dB, good/bad packets: 863/176
Hello, node 1, message 678, tx time 404 ms, battery 359, RSSI -102 dBm, SNR 5 dB, good/bad packets: 864/176
Hello, node 2, message 690, tx time 401 ms, battery 345, RSSI -97 dBm, SNR 8 dB, good/bad packets: 865/176
Hello, node 3, message 691, tx time 401 ms, battery 339, RSSI -114 dBm, SNR -2 dB, good/bad packets: 866/176
Hello, node 1, message 679, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 5 dB, good/bad packets: 867/176
Hello, node 2, message 691, tx time 401 ms, battery 345, RSSI -95 dBm, SNR 8 dB, good/bad packets: 868/176
Hello, node 1, message 680, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 869/177
Hello, node 2, message 692, tx time 401 ms, battery 345, RSSI -95 dBm, SNR 8 dB, good/bad packets: 870/177
Hello, node 1, message 681, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 871/178
Hello, node 2, message 693, tx time 401 ms, battery 345, RSSI -96 dBm, SNR 8 dB, good/bad packets: 872/178
Hello, node 3, message 694, tx time 404 ms, battery 339, RSSI -116 dBm, SNR -4 dB, good/bad packets: 873/178
Hello, node 1, message 682, tx time 405 ms, battery 359, RSSI -101 dBm, SNR 6 dB, good/bad packets: 874/178
Hello, node 2, message 694, tx time 404 ms, battery 345, RSSI -97 dBm, SNR 8 dB, good/bad packets: 875/178
Hello, node 3, message 695, tx time 402 ms, battery 339, RSSI -117 dBm, SNR -5 dB, good/bad packets: 876/178
Hello, node 1, message 683, tx time 404 ms, battery 359, RSSI -101 dBm, SNR 5 dB, good/bad packets: 877/178
Hello, node 2, message 695, tx time 402 ms, battery 345, RSSI -96 dBm, SNR 8 dB, good/bad packets: 878/178
Hello, node 3, message 696, tx time 401 ms, battery 339, RSSI -116 dBm, SNR -4 dB, good/bad packets: 879/178
Hello, node 1, message 684, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 5 dB, good/bad packets: 880/178
Hello, node 2, message 696, tx time 401 ms, battery 345, RSSI -97 dBm, SNR 8 dB, good/bad packets: 881/178
Hello, node 3, message 697, tx time 401 ms, battery 339, RSSI -113 dBm, SNR -2 dB, good/bad packets: 882/178
Hello, node 1, message 685, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 6 dB, good/bad packets: 883/178
Hello, node 2, message 697, tx time 401 ms, battery 345, RSSI -96 dBm, SNR 8 dB, good/bad packets: 884/178
Hello, node 3, message 698, tx time 401 ms, battery 339, RSSI -117 dBm, SNR -5 dB, good/bad packets: 885/178
Hello, node 1, message 686, tx time 405 ms, battery 359, RSSI -103 dBm, SNR 5 dB, good/bad packets: 886/178
Hello, node 2, message 698, tx time 401 ms, battery 345, RSSI -96 dBm, SNR 8 dB, good/bad packets: 887/178
Hello, node 1, message 687, tx time 403 ms, battery 359, RSSI -102 dBm, SNR 5 dB, good/bad packets: 888/179
Hello, node 2, message 699, tx time 401 ms, battery 345, RSSI -97 dBm, SNR 8 dB, good/bad packets: 889/179
Hello, node 1, message 688, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 5 dB, good/bad packets: 890/180
Hello, node 2, message 700, tx time 402 ms, battery 345, RSSI -96 dBm, SNR 9 dB, good/bad packets: 891/180
Hello, node 3, message 701, tx time 404 ms, battery 339, RSSI -106 dBm, SNR 1 dB, good/bad packets: 892/180
Hello, node 1, message 689, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 3 dB, good/bad packets: 893/180
Hello, node 2, message 701, tx time 404 ms, battery 345, RSSI -99 dBm, SNR 7 dB, good/bad packets: 894/180
Hello, node 3, message 702, tx time 401 ms, battery 339, RSSI -105 dBm, SNR 2 dB, good/bad packets: 895/180
Hello, node 1, message 690, tx time 404 ms, battery 359, RSSI -103 dBm, SNR 4 dB, good/bad packets: 896/180
Hello, node 2, message 702, tx time 401 ms, battery 345, RSSI -101 dBm, SNR 6 dB, good/bad packets: 897/180
Hello, node 3, message 703, tx time 401 ms, battery 340, RSSI -106 dBm, SNR 2 dB, good/bad packets: 898/180
Hello, node 1, message 691, tx time 404 ms, battery 359, RSSI -104 dBm, SNR 3 dB, good/bad packets: 899/180
Hello, node 2, message 703, tx time 401 ms, battery 345, RSSI -100 dBm, SNR 7 dB, good/bad packets: 900/180
Hello, node 3, message 704, tx time 401 ms, battery 339, RSSI -105 dBm, SNR 2 dB, good/bad packets: 901/180
Hello, node 1, message 692, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 902/180
Hello, node 2, message 704, tx time 401 ms, battery 345, RSSI -95 dBm, SNR 9 dB, good/bad packets: 903/180
Hello, node 1, message 693, tx time 403 ms, battery 359, RSSI -101 dBm, SNR 7 dB, good/bad packets: 904/181
Hello, node 2, message 705, tx time 401 ms, battery 345, RSSI -99 dBm, SNR 8 dB, good/bad packets: 905/181
Hello, node 3, message 706, tx time 402 ms, battery 339, RSSI -103 dBm, SNR 6 dB, good/bad packets: 906/181
Hello, node 1, message 694, tx time 403 ms, battery 359, RSSI -103 dBm, SNR 6 dB, good/bad packets: 907/181
Hello, node 2, message 706, tx time 402 ms, battery 345, RSSI -103 dBm, SNR 5 dB, good/bad packets: 908/181
Hello, node 3, message 707, tx time 404 ms, battery 339, RSSI -113 dBm, SNR -1 dB, good/bad packets: 909/181
