Start receiveer
Listening on frequency: 915.00
Hello, this is device 1, tx time 403 ms,-44,9
Hello, this is device 2, tx time 809 ms,-37,9
Hello, this is device 1, tx time 405 ms,-44,9
Hello, this is device 2, tx time 1311 ms,-37,8
Hello, this is device 1, tx time 406 ms,-44,9
Hello, this is device 2, tx time 809 ms,-37,8
Hello, this is device 2, tx time 809 ms,-37,8
Hello, this is device 1, tx time 404 ms,-43,9
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 809 ms,-38,8
Hello, this is device 1, tx time 405 ms,-45,9
Hello, this is device 2, tx time 809 ms,-38,9
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 1, tx time 406 ms,-45,9
Hello, this is device 2, tx time 809 ms,-38,9
Hello, this is device 2, tx time 809 ms,-38,8
Hello, this is device 1, tx time 1206 ms,-44,9
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 809 ms,-38,9
Hello, this is device 2, tx time 809 ms,-37,9
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 809 ms,-38,9
Hello, this is device 2, tx time 805 ms,-38,9
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 809 ms,-38,8
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 809 ms,-37,9
Hello, this is device 1, tx time 907 ms,-44,9
Hello, this is device 2, tx time 805 ms,-38,8
Hello, this is device 2, tx time 806 ms,-37,9
Hello, this is device 1, tx time 1307 ms,-44,9
Hello, this is device 2, tx time 809 ms,-37,8
Hello, this is device 2, tx time 805 ms,-38,9
Hello, this is device 1, tx time 405 ms,-44,9
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 809 ms,-37,9
Hello, this is device 1, tx time 1106 ms,-44,9
Hello, this is device 2, tx time 805 ms,-37,9
Hello, this is device 2, tx time 807 ms,-37,9
Hello, this is device 1, tx time 1308 ms,-44,9
Hello, this is device 2, tx time 809 ms,-37,8
Hello, this is device 2, tx time 807 ms,-38,9
Hello, this is device 2, tx time 806 ms,-40,9
