17:31:43.873 -> Hello, this is device 1, message 1, tx time 0 ms,-37,0
17:31:49.887 -> Hello, this is device 1, message 2, tx time 401 ms,-38,0
17:31:55.903 -> Hello, this is device 1, message 3, tx time 401 ms,-36,0
17:32:01.918 -> Hello, this is device 1, message 4, tx time 402 ms,-36,0
17:32:07.931 -> Hello, this is device 1, message 5, tx time 401 ms,-38,0
17:32:13.944 -> Hello, this is device 1, message 6, tx time 402 ms,-36,0
17:32:19.963 -> Hello, this is device 1, message 7, tx time 403 ms,-36,1
17:32:25.969 -> Hello, this is device 1, message 8, tx time 403 ms,-38,1
17:32:31.986 -> Hello, this is device 1, message 9, tx time 402 ms,-47,9
17:32:32.620 -> Hello, this is device 2, message 9, tx time 402 ms,-48,9
17:32:38.000 -> Hello, this is device 1, message 10, tx time 401 ms,-47,9
17:32:38.952 -> Hello, this is device 2, message 10, tx time 903 ms,-47,9
17:32:44.016 -> Hello, this is device 1, message 11, tx time 401 ms,-45,8
17:32:44.781 -> Hello, this is device 2, message 11, tx time 1206 ms,-48,9
17:32:50.031 -> Hello, this is device 1, message 12, tx time 402 ms,-47,9
17:32:50.506 -> Hello, this is device 2, message 12, tx time 1006 ms,-48,9
17:32:56.044 -> Hello, this is device 1, message 13, tx time 401 ms,-45,9
17:32:56.735 -> Hello, this is device 2, message 13, tx time 706 ms,-47,10
17:33:02.063 -> Hello, this is device 1, message 14, tx time 401 ms,-47,9
17:33:03.165 -> Hello, this is device 2, message 14, tx time 905 ms,-45,9
17:33:08.077 -> Hello, this is device 1, message 15, tx time 402 ms,-45,9
17:33:08.990 -> Hello, this is device 2, message 15, tx time 1307 ms,-47,9
17:33:14.092 -> Hello, this is device 1, message 16, tx time 401 ms,-47,9
17:33:15.219 -> Hello, this is device 2, message 16, tx time 1104 ms,-45,9
17:33:20.102 -> Hello, this is device 1, message 17, tx time 403 ms,-45,9
17:33:21.245 -> Hello, this is device 2, message 17, tx time 1305 ms,-45,9
17:33:26.117 -> Hello, this is device 1, message 18, tx time 404 ms,-44,9
17:33:26.570 -> Hello, this is device 2, message 18, tx time 1305 ms,-45,9
17:33:32.129 -> Hello, this is device 1, message 19, tx time 401 ms,-44,9
17:33:33.403 -> Hello, this is device 2, message 19, tx time 604 ms,-45,9
17:33:38.142 -> Hello, this is device 1, message 20, tx time 402 ms,-43,9
17:33:39.129 -> Hello, this is device 2, message 20, tx time 1407 ms,-45,9
17:33:44.157 -> Hello, this is device 1, message 21, tx time 402 ms,-43,9
17:33:45.357 -> Hello, this is device 2, message 21, tx time 1106 ms,-44,9
17:33:50.172 -> Hello, this is device 1, message 22, tx time 401 ms,-42,9
17:33:50.582 -> Hello, this is device 2, message 22, tx time 1304 ms,-45,10
17:33:56.186 -> Hello, this is device 1, message 23, tx time 402 ms,-43,9
17:33:56.809 -> Hello, this is device 2, message 23, tx time 506 ms,-45,9
