# Reset nodes 2 and 3 so they are offset in time.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Hello, node 1, message 1185, tx time 404 ms, battery 348, RSSI -49 dBm, SNR 9 dB, good/bad packets: 2507/353
Hello, node 2, message 4, tx time 403 ms, battery 339, RSSI -41 dBm, SNR 9 dB, good/bad packets: 2508/353
Hello, node 3, message 4, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2509/353
Hello, node 1, message 1186, tx time 404 ms, battery 348, RSSI -49 dBm, SNR 9 dB, good/bad packets: 2510/353
Hello, node 2, message 5, tx time 403 ms, battery 339, RSSI -41 dBm, SNR 9 dB, good/bad packets: 2511/353
Hello, node 3, message 5, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2512/353
Hello, node 1, message 1187, tx time 403 ms, battery 348, RSSI -50 dBm, SNR 9 dB, good/bad packets: 2513/353
Hello, node 2, message 6, tx time 404 ms, battery 339, RSSI -41 dBm, SNR 9 dB, good/bad packets: 2514/353
Hello, node 3, message 6, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 10 dB, good/bad packets: 2515/353
Hello, node 1, message 1188, tx time 403 ms, battery 348, RSSI -49 dBm, SNR 9 dB, good/bad packets: 2516/353
Hello, node 2, message 7, tx time 404 ms, battery 339, RSSI -41 dBm, SNR 10 dB, good/bad packets: 2517/353
Hello, node 3, message 7, tx time 404 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2518/353
Hello, node 1, message 1189, tx time 403 ms, battery 348, RSSI -47 dBm, SNR 9 dB, good/bad packets: 2519/353
Hello, node 2, message 8, tx time 404 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2520/353
Hello, node 3, message 8, tx time 404 ms, battery 334, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2521/353
Hello, node 1, message 1190, tx time 403 ms, battery 349, RSSI -48 dBm, SNR 9 dB, good/bad packets: 2522/353
Hello, node 2, message 9, tx time 403 ms, battery 339, RSSI -42 dBm, SNR 9 dB, good/bad packets: 2523/353
Hello, node 3, message 9, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2524/353
Hello, node 1, message 1191, tx time 404 ms, battery 348, RSSI -45 dBm, SNR 9 dB, good/bad packets: 2525/353
Hello, node 2, message 10, tx time 403 ms, battery 340, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2526/353
Hello, node 3, message 10, tx time 403 ms, battery 334, RSSI -43 dBm, SNR 10 dB, good/bad packets: 2527/353
Hello, node 1, message 1192, tx time 404 ms, battery 348, RSSI -47 dBm, SNR 9 dB, good/bad packets: 2528/353
Hello, node 2, message 11, tx time 403 ms, battery 339, RSSI -43 dBm, SNR 9 dB, good/bad packets: 2529/353
Hello, node 3, message 11, tx time 403 ms, battery 334, RSSI -44 dBm, SNR 9 dB, good/bad packets: 2530/353
