Reset nodes at the same time. Using CAD but without a loop delay. Node 1 
was slightly farther from the server.

16:21:25.237 -> Hello, node 1, message 1, tx time 0 ms, battery 357,-44,9
16:21:25.695 -> Hello, node 1, message 2, tx time 404 ms, battery 357,-44,9
16:21:26.153 -> Hello, node 1, message 3, tx time 403 ms, battery 357,-44,9
16:21:26.558 -> Hello, node 2, message 1, tx time 0 ms, battery 305,-43,9
16:21:27.017 -> Hello, node 2, message 2, tx time 1708 ms, battery 303,-43,9
16:21:27.478 -> Hello, node 2, message 3, tx time 402 ms, battery 302,-42,9
16:21:30.204 -> Hello, node 1, message 9, tx time 404 ms, battery 357,-43,9
16:21:30.666 -> Hello, node 1, message 10, tx time 403 ms, battery 357,-44,9
16:21:31.122 -> Hello, node 1, message 11, tx time 403 ms, battery 357,-44,9
16:21:31.579 -> Hello, node 1, message 12, tx time 404 ms, battery 357,-44,9
16:21:32.036 -> Hello, node 1, message 13, tx time 403 ms, battery 357,-44,9
16:21:32.492 -> Hello, node 1, message 14, tx time 403 ms, battery 357,-44,10
16:21:32.952 -> Hello, node 1, message 15, tx time 404 ms, battery 357,-45,9
16:21:33.409 -> Hello, node 1, message 16, tx time 403 ms, battery 357,-44,9
16:21:33.865 -> Hello, node 1, message 17, tx time 404 ms, battery 357,-44,9
16:21:34.325 -> Hello, node 1, message 18, tx time 404 ms, battery 357,-44,9
16:21:34.782 -> Hello, node 1, message 19, tx time 403 ms, battery 357,-45,9
16:21:35.238 -> Hello, node 1, message 20, tx time 404 ms, battery 357,-44,9
16:21:35.698 -> Hello, node 1, message 21, tx time 404 ms, battery 357,-44,9
16:21:36.155 -> Hello, node 1, message 22, tx time 403 ms, battery 357,-45,9
16:21:36.612 -> Hello, node 1, message 23, tx time 404 ms, battery 357,-44,9
16:21:41.646 -> Hello, node 1, message 34, tx time 403 ms, battery 357,-43,9
16:21:42.102 -> Hello, node 1, message 35, tx time 404 ms, battery 357,-43,9
16:21:42.564 -> Hello, node 1, message 36, tx time 403 ms, battery 357,-43,10
16:21:42.979 -> Hello, node 2, message 21, tx time 401 ms, battery 299,-43,9
16:21:43.432 -> Hello, node 2, message 22, tx time 1712 ms, battery 300,-43,9
16:21:43.891 -> Hello, node 2, message 23, tx time 403 ms, battery 299,-42,9
16:21:44.350 -> Hello, node 2, message 24, tx time 401 ms, battery 299,-42,9
16:21:44.806 -> Hello, node 2, message 25, tx time 406 ms, battery 299,-42,9
16:21:45.264 -> Hello, node 2, message 26, tx time 401 ms, battery 299,-43,9
16:21:45.722 -> Hello, node 2, message 27, tx time 406 ms, battery 299,-43,9
16:21:46.182 -> Hello, node 2, message 28, tx time 402 ms, battery 298,-43,9
16:21:46.638 -> Hello, node 2, message 29, tx time 403 ms, battery 298,-43,9
16:21:47.096 -> Hello, node 2, message 30, tx time 404 ms, battery 298,-42,9
16:21:47.556 -> Hello, node 2, message 31, tx time 404 ms, battery 298,-43,9
16:21:48.012 -> Hello, node 2, message 32, tx time 403 ms, battery 298,-42,9
16:21:48.469 -> Hello, node 2, message 33, tx time 402 ms, battery 298,-42,9
16:21:48.927 -> Hello, node 2, message 34, tx time 406 ms, battery 297,-43,9
16:21:49.384 -> Hello, node 2, message 35, tx time 401 ms, battery 297,-41,9
16:21:49.842 -> Hello, node 2, message 36, tx time 404 ms, battery 297,-42,9
16:21:50.300 -> Hello, node 2, message 37, tx time 401 ms, battery 297,-43,9
16:21:50.761 -> Hello, node 2, message 38, tx time 403 ms, battery 297,-42,9
16:21:51.175 -> Hello, node 1, message 39, tx time 3015 ms, battery 357,-44,9
16:21:51.635 -> Hello, node 1, message 40, tx time 2413 ms, battery 357,-44,9
16:21:52.094 -> Hello, node 1, message 41, tx time 403 ms, battery 357,-44,9
16:21:52.548 -> Hello, node 1, message 42, tx time 404 ms, battery 357,-44,9
16:21:53.007 -> Hello, node 1, message 43, tx time 403 ms, battery 357,-43,9
16:21:53.465 -> Hello, node 1, message 44, tx time 403 ms, battery 356,-44,9
16:21:53.922 -> Hello, node 1, message 45, tx time 404 ms, battery 357,-43,9
16:21:54.381 -> Hello, node 1, message 46, tx time 403 ms, battery 356,-44,9
16:21:54.800 -> Hello, node 2, message 40, tx time 3314 ms, battery 298,-43,9
16:21:55.257 -> Hello, node 2, message 41, tx time 604 ms, battery 297,-43,9
16:21:55.715 -> Hello, node 2, message 42, tx time 404 ms, battery 297,-42,9
16:21:56.173 -> Hello, node 2, message 43, tx time 403 ms, battery 297,-43,9
16:21:56.629 -> Hello, node 2, message 44, tx time 401 ms, battery 296,-43,9
16:21:57.088 -> Hello, node 2, message 45, tx time 406 ms, battery 296,-43,9
16:21:57.548 -> Hello, node 2, message 46, tx time 401 ms, battery 296,-43,9
16:21:58.006 -> Hello, node 2, message 47, tx time 405 ms, battery 296,-43,9
16:21:58.413 -> Hello, node 1, message 48, tx time 3314 ms, battery 357,-44,9
16:21:58.871 -> Hello, node 2, message 48, tx time 402 ms, battery 296,-43,-1
16:21:59.332 -> Hello, node 2, message 49, tx time 807 ms, battery 296,-41,-1
16:21:59.786 -> Hello, node 2, message 50, tx time 401 ms, battery 296,-35,0
16:22:00.696 -> Hello, node 2, message 52, tx time 402 ms, battery 295,-34,0
16:22:01.156 -> Hello, node 2, message 53, tx time 403 ms, battery 295,-34,0
16:22:01.621 -> Hello, node 2, message 54, tx time 401 ms, battery 295,-42,-1
16:22:02.072 -> Hello, node 2, message 55, tx time 404 ms, battery 295,-34,0
16:22:02.535 -> Hello, node 2, message 56, tx time 403 ms, battery 295,-43,-1
16:22:02.996 -> Hello, node 2, message 57, tx time 401 ms, battery 295,-42,-1
16:22:03.443 -> Hello, node 2, message 58, tx time 406 ms, battery 295,-35,0
16:22:03.902 -> Hello, node 2, message 59, tx time 401 ms, battery 295,-34,0
16:22:04.816 -> Hello, node 2, message 61, tx time 402 ms, battery 295,-34,0
16:22:05.284 -> Hello, node 2, message 62, tx time 403 ms, battery 295,-42,-1
16:22:05.735 -> Hello, node 2, message 63, tx time 403 ms, battery 295,-34,0
16:22:06.192 -> Hello, node 2, message 64, tx time 402 ms, battery 295,-33,0
16:22:06.650 -> Hello, node 2, message 65, tx time 405 ms, battery 295,-34,0
16:22:08.022 -> Hello, node 2, message 68, tx time 401 ms, battery 294,-34,0
