# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00

# at this point the nodes 2 and 3 are at 'pos 1'

Hello, node 2, message 397, tx time 401 ms, battery 341, RSSI -118 dBm, SNR -4 dB, good/bad packets: 393/15
Hello, node 1, message 385, tx time 403 ms, battery 337, RSSI -102 dBm, SNR 6 dB, good/bad packets: 394/15
Hello, node 2, message 398, tx time 401 ms, battery 341, RSSI -115 dBm, SNR -2 dB, good/bad packets: 395/15
Hello, node 1, message 386, tx time 403 ms, battery 336, RSSI -101 dBm, SNR 6 dB, good/bad packets: 396/15
Hello, node 2, message 399, tx time 401 ms, battery 342, RSSI -117 dBm, SNR -3 dB, good/bad packets: 397/15
Hello, node 1, message 387, tx time 403 ms, battery 333, RSSI -101 dBm, SNR 7 dB, good/bad packets: 398/15
Hello, node 1, message 388, tx time 403 ms, battery 344, RSSI -102 dBm, SNR 6 dB, good/bad packets: 399/15
Hello, node 2, message 401, tx time 404 ms, battery 342, RSSI -119 dBm, SNR -5 dB, good/bad packets: 400/15
Hello, node 1, message 389, tx time 406 ms, battery 351, RSSI -100 dBm, SNR 7 dB, good/bad packets: 401/15
Hello, node 1, message 390, tx time 404 ms, battery 343, RSSI -101 dBm, SNR 7 dB, good/bad packets: 402/16
Hello, node 2, message 403, tx time 401 ms, battery 342, RSSI -115 dBm, SNR -2 dB, good/bad packets: 403/16
Hello, node 1, message 391, tx time 404 ms, battery 352, RSSI -101 dBm, SNR 7 dB, good/bad packets: 404/16
Hello, node 2, message 404, tx time 401 ms, battery 342, RSSI -118 dBm, SNR -4 dB, good/bad packets: 405/16
Hello, node 1, message 392, tx time 403 ms, battery 353, RSSI -101 dBm, SNR 8 dB, good/bad packets: 406/16
Hello, node 1, message 393, tx time 403 ms, battery 351, RSSI -100 dBm, SNR 6 dB, good/bad packets: 407/17
Hello, node 2, message 406, tx time 404 ms, battery 342, RSSI -120 dBm, SNR -6 dB, good/bad packets: 408/17
Hello, node 1, message 394, tx time 403 ms, battery 349, RSSI -101 dBm, SNR 7 dB, good/bad packets: 409/17
Hello, node 2, message 407, tx time 404 ms, battery 342, RSSI -117 dBm, SNR -3 dB, good/bad packets: 410/17
Hello, node 1, message 395, tx time 406 ms, battery 348, RSSI -101 dBm, SNR 7 dB, good/bad packets: 411/17
Hello, node 1, message 396, tx time 404 ms, battery 343, RSSI -101 dBm, SNR 7 dB, good/bad packets: 412/18
Hello, node 2, message 409, tx time 401 ms, battery 342, RSSI -118 dBm, SNR -5 dB, good/bad packets: 413/18
Hello, node 1, message 397, tx time 404 ms, battery 337, RSSI -101 dBm, SNR 7 dB, good/bad packets: 414/18
Hello, node 2, message 410, tx time 401 ms, battery 342, RSSI -118 dBm, SNR -4 dB, good/bad packets: 415/18
Hello, node 1, message 398, tx time 403 ms, battery 334, RSSI -101 dBm, SNR 7 dB, good/bad packets: 416/18
Hello, node 2, message 411, tx time 403 ms, battery 342, RSSI -118 dBm, SNR -4 dB, good/bad packets: 417/18
Hello, node 1, message 399, tx time 403 ms, battery 342, RSSI -101 dBm, SNR 7 dB, good/bad packets: 418/18
Hello, node 2, message 412, tx time 404 ms, battery 342, RSSI -120 dBm, SNR -6 dB, good/bad packets: 419/18
Hello, node 1, message 400, tx time 403 ms, battery 338, RSSI -101 dBm, SNR 7 dB, good/bad packets: 420/18
Hello, node 2, message 413, tx time 402 ms, battery 342, RSSI -118 dBm, SNR -5 dB, good/bad packets: 421/18
Hello, node 1, message 401, tx time 404 ms, battery 337, RSSI -102 dBm, SNR 7 dB, good/bad packets: 422/18
Hello, node 2, message 414, tx time 402 ms, battery 342, RSSI -119 dBm, SNR -4 dB, good/bad packets: 423/18
Hello, node 1, message 402, tx time 404 ms, battery 345, RSSI -102 dBm, SNR 6 dB, good/bad packets: 424/18
Hello, node 1, message 403, tx time 404 ms, battery 350, RSSI -103 dBm, SNR 6 dB, good/bad packets: 425/19
Hello, node 1, message 404, tx time 403 ms, battery 353, RSSI -102 dBm, SNR 7 dB, good/bad packets: 426/20
Hello, node 1, message 405, tx time 403 ms, battery 353, RSSI -103 dBm, SNR 7 dB, good/bad packets: 427/21
Hello, node 1, message 406, tx time 403 ms, battery 351, RSSI -102 dBm, SNR 7 dB, good/bad packets: 428/24
Hello, node 1, message 407, tx time 403 ms, battery 351, RSSI -103 dBm, SNR 6 dB, good/bad packets: 429/25
Hello, node 1, message 408, tx time 406 ms, battery 352, RSSI -103 dBm, SNR 6 dB, good/bad packets: 430/26
Hello, node 1, message 409, tx time 404 ms, battery 350, RSSI -103 dBm, SNR 6 dB, good/bad packets: 431/27
Hello, node 1, message 410, tx time 403 ms, battery 348, RSSI -101 dBm, SNR 7 dB, good/bad packets: 432/28
