# Nodes outside at S 1 line-of-sight) and S 2,3 (first position, line-of-sight blocked by house) 
# with the server outside. But the first lines are us walking out to the two points to position
# the nodes.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00
Hello, node 2, message 255, tx time 403 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 1/0
Hello, node 3, message 256, tx time 404 ms, battery 334, RSSI -66 dBm, SNR 9 dB, good/bad packets: 2/0
Hello, node 1, message 243, tx time 403 ms, battery 358, RSSI -63 dBm, SNR 9 dB, good/bad packets: 3/0
Hello, node 2, message 256, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 8 dB, good/bad packets: 4/0
Hello, node 3, message 257, tx time 404 ms, battery 334, RSSI -66 dBm, SNR 10 dB, good/bad packets: 5/0
Hello, node 1, message 244, tx time 401 ms, battery 358, RSSI -71 dBm, SNR 9 dB, good/bad packets: 6/0
Hello, node 2, message 257, tx time 404 ms, battery 340, RSSI -65 dBm, SNR 9 dB, good/bad packets: 7/0
Hello, node 3, message 258, tx time 402 ms, battery 334, RSSI -64 dBm, SNR 9 dB, good/bad packets: 8/0
Hello, node 1, message 245, tx time 406 ms, battery 358, RSSI -65 dBm, SNR 10 dB, good/bad packets: 9/0
Hello, node 2, message 258, tx time 402 ms, battery 340, RSSI -61 dBm, SNR 10 dB, good/bad packets: 10/0
Hello, node 3, message 259, tx time 401 ms, battery 334, RSSI -67 dBm, SNR 9 dB, good/bad packets: 11/0
Hello, node 1, message 246, tx time 402 ms, battery 358, RSSI -65 dBm, SNR 9 dB, good/bad packets: 12/0
Hello, node 2, message 259, tx time 403 ms, battery 340, RSSI -60 dBm, SNR 10 dB, good/bad packets: 13/0
Hello, node 3, message 260, tx time 401 ms, battery 334, RSSI -64 dBm, SNR 9 dB, good/bad packets: 14/0
Hello, node 1, message 247, tx time 404 ms, battery 358, RSSI -63 dBm, SNR 9 dB, good/bad packets: 15/0
Hello, node 2, message 260, tx time 403 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 16/0
Hello, node 3, message 261, tx time 401 ms, battery 334, RSSI -73 dBm, SNR 10 dB, good/bad packets: 17/0
Hello, node 1, message 248, tx time 401 ms, battery 358, RSSI -63 dBm, SNR 9 dB, good/bad packets: 18/0
Hello, node 2, message 261, tx time 403 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 19/0
Hello, node 3, message 262, tx time 402 ms, battery 334, RSSI -72 dBm, SNR 10 dB, good/bad packets: 20/0
Hello, node 1, message 249, tx time 403 ms, battery 356, RSSI -68 dBm, SNR 9 dB, good/bad packets: 21/0
Hello, node 2, message 262, tx time 404 ms, battery 340, RSSI -69 dBm, SNR 9 dB, good/bad packets: 22/0
Hello, node 3, message 263, tx time 404 ms, battery 334, RSSI -75 dBm, SNR 9 dB, good/bad packets: 23/0
Hello, node 1, message 250, tx time 403 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 24/0
Hello, node 2, message 263, tx time 402 ms, battery 340, RSSI -65 dBm, SNR 9 dB, good/bad packets: 25/0
Hello, node 3, message 264, tx time 402 ms, battery 334, RSSI -77 dBm, SNR 10 dB, good/bad packets: 26/0
Hello, node 1, message 251, tx time 406 ms, battery 356, RSSI -68 dBm, SNR 9 dB, good/bad packets: 27/0
Hello, node 2, message 264, tx time 404 ms, battery 340, RSSI -68 dBm, SNR 9 dB, good/bad packets: 28/0
Hello, node 3, message 265, tx time 401 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 29/0
Hello, node 1, message 252, tx time 404 ms, battery 356, RSSI -65 dBm, SNR 9 dB, good/bad packets: 30/0
Hello, node 2, message 265, tx time 403 ms, battery 340, RSSI -65 dBm, SNR 10 dB, good/bad packets: 31/0
Hello, node 3, message 266, tx time 401 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 32/0
Hello, node 1, message 253, tx time 402 ms, battery 358, RSSI -67 dBm, SNR 9 dB, good/bad packets: 33/0
Hello, node 2, message 266, tx time 403 ms, battery 340, RSSI -67 dBm, SNR 9 dB, good/bad packets: 34/0
Hello, node 3, message 267, tx time 403 ms, battery 334, RSSI -66 dBm, SNR 9 dB, good/bad packets: 35/0
Hello, node 2, message 267, tx time 401 ms, battery 340, RSSI -72 dBm, SNR 9 dB, good/bad packets: 36/1
Hello, node 3, message 268, tx time 403 ms, battery 334, RSSI -69 dBm, SNR 9 dB, good/bad packets: 37/1
Hello, node 1, message 255, tx time 401 ms, battery 356, RSSI -68 dBm, SNR 9 dB, good/bad packets: 38/1
Hello, node 2, message 268, tx time 401 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 39/1
Hello, node 3, message 269, tx time 404 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 40/1
Hello, node 1, message 256, tx time 401 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 41/1
Hello, node 2, message 269, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 8 dB, good/bad packets: 42/1
Hello, node 3, message 270, tx time 402 ms, battery 334, RSSI -69 dBm, SNR 9 dB, good/bad packets: 43/1
Hello, node 1, message 257, tx time 401 ms, battery 356, RSSI -66 dBm, SNR 8 dB, good/bad packets: 44/1
Hello, node 2, message 270, tx time 402 ms, battery 340, RSSI -68 dBm, SNR 10 dB, good/bad packets: 45/1
Hello, node 3, message 271, tx time 401 ms, battery 334, RSSI -71 dBm, SNR 10 dB, good/bad packets: 46/1
Hello, node 1, message 258, tx time 406 ms, battery 356, RSSI -69 dBm, SNR 9 dB, good/bad packets: 47/1
Hello, node 2, message 271, tx time 403 ms, battery 340, RSSI -73 dBm, SNR 11 dB, good/bad packets: 48/1
Hello, node 3, message 272, tx time 403 ms, battery 334, RSSI -69 dBm, SNR 9 dB, good/bad packets: 49/1
Hello, node 1, message 259, tx time 404 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 50/1
Hello, node 2, message 272, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 51/1
Hello, node 3, message 273, tx time 401 ms, battery 334, RSSI -69 dBm, SNR 10 dB, good/bad packets: 52/1
Hello, node 1, message 260, tx time 401 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 53/1
Hello, node 2, message 273, tx time 403 ms, battery 340, RSSI -72 dBm, SNR 9 dB, good/bad packets: 54/1
Hello, node 3, message 274, tx time 401 ms, battery 334, RSSI -68 dBm, SNR 9 dB, good/bad packets: 55/1
Hello, node 1, message 261, tx time 401 ms, battery 356, RSSI -64 dBm, SNR 9 dB, good/bad packets: 56/1
Hello, node 2, message 274, tx time 403 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 57/1
Hello, node 3, message 275, tx time 404 ms, battery 334, RSSI -71 dBm, SNR 9 dB, good/bad packets: 58/1
Hello, node 1, message 262, tx time 403 ms, battery 356, RSSI -67 dBm, SNR 9 dB, good/bad packets: 59/1
Hello, node 2, message 275, tx time 404 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 60/1
Hello, node 3, message 276, tx time 404 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 61/1
Hello, node 1, message 263, tx time 405 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 62/1
Hello, node 2, message 276, tx time 404 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 63/1
Hello, node 3, message 277, tx time 401 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 64/1
Hello, node 1, message 264, tx time 406 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 65/1
Hello, node 2, message 277, tx time 401 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 66/1
Hello, node 3, message 278, tx time 401 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 67/1
Hello, node 1, message 265, tx time 406 ms, battery 356, RSSI -67 dBm, SNR 8 dB, good/bad packets: 68/1
Hello, node 2, message 278, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 8 dB, good/bad packets: 69/1
Hello, node 3, message 279, tx time 401 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 70/1
Hello, node 1, message 266, tx time 404 ms, battery 356, RSSI -67 dBm, SNR 9 dB, good/bad packets: 71/1
Hello, node 2, message 279, tx time 401 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 72/1
Hello, node 3, message 280, tx time 401 ms, battery 334, RSSI -77 dBm, SNR 9 dB, good/bad packets: 73/1
Hello, node 1, message 267, tx time 403 ms, battery 356, RSSI -63 dBm, SNR 9 dB, good/bad packets: 74/1
Hello, node 2, message 280, tx time 403 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 75/1
Hello, node 3, message 281, tx time 404 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 76/1
Hello, node 1, message 268, tx time 401 ms, battery 356, RSSI -66 dBm, SNR 9 dB, good/bad packets: 77/1
Hello, node 2, message 281, tx time 402 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 78/1
Hello, node 3, message 282, tx time 404 ms, battery 334, RSSI -72 dBm, SNR 9 dB, good/bad packets: 79/1
Hello, node 1, message 269, tx time 403 ms, battery 356, RSSI -65 dBm, SNR 8 dB, good/bad packets: 80/1
Hello, node 2, message 282, tx time 402 ms, battery 340, RSSI -70 dBm, SNR 9 dB, good/bad packets: 81/1
Hello, node 3, message 283, tx time 402 ms, battery 334, RSSI -70 dBm, SNR 9 dB, good/bad packets: 82/1
Hello, node 1, message 270, tx time 404 ms, battery 356, RSSI -68 dBm, SNR 9 dB, good/bad packets: 83/1
Hello, node 2, message 283, tx time 402 ms, battery 340, RSSI -71 dBm, SNR 9 dB, good/bad packets: 84/1
Hello, node 3, message 284, tx time 401 ms, battery 334, RSSI -71 dBm, SNR 10 dB, good/bad packets: 85/1
Hello, node 1, message 271, tx time 402 ms, battery 356, RSSI -72 dBm, SNR 9 dB, good/bad packets: 86/1
Hello, node 2, message 284, tx time 401 ms, battery 340, RSSI -72 dBm, SNR 9 dB, good/bad packets: 87/1
