# Nodes outside at S 1 and S 2,3 pos 2 with the server outside on the ground.
# F 915, Bandwidth 125 kHz, Tx 13 dBm, Spreading factor 7, Coding rate 5.
# CAD on, 5s loop delay between tx for each node.

Start receiveer
Listening on frequency: 915.00
Hello, node 2, message 828, tx time 401 ms, battery 345, RSSI -109 dBm, SNR 0 dB, good/bad packets: 1/0
Hello, node 1, message 817, tx time 403 ms, battery 359, RSSI -107 dBm, SNR 2 dB, good/bad packets: 2/1
Hello, node 2, message 829, tx time 401 ms, battery 345, RSSI -116 dBm, SNR -2 dB, good/bad packets: 3/1
Hello, node 1, message 818, tx time 403 ms, battery 359, RSSI -108 dBm, SNR 2 dB, good/bad packets: 4/1
Hello, node 2, message 830, tx time 403 ms, battery 345, RSSI -109 dBm, SNR 0 dB, good/bad packets: 5/1
Hello, node 1, message 819, tx time 405 ms, battery 359, RSSI -106 dBm, SNR 4 dB, good/bad packets: 6/2
Hello, node 2, message 831, tx time 402 ms, battery 345, RSSI -113 dBm, SNR -1 dB, good/bad packets: 7/2
Hello, node 1, message 820, tx time 406 ms, battery 359, RSSI -106 dBm, SNR 3 dB, good/bad packets: 8/3
Hello, node 2, message 832, tx time 402 ms, battery 345, RSSI -105 dBm, SNR 5 dB, good/bad packets: 9/3
Hello, node 3, message 833, tx time 402 ms, battery 339, RSSI -114 dBm, SNR -1 dB, good/bad packets: 10/3
Hello, node 1, message 821, tx time 406 ms, battery 358, RSSI -106 dBm, SNR 5 dB, good/bad packets: 11/3
Hello, node 2, message 833, tx time 402 ms, battery 345, RSSI -114 dBm, SNR -1 dB, good/bad packets: 12/3
Hello, node 3, message 834, tx time 401 ms, battery 339, RSSI -117 dBm, SNR -3 dB, good/bad packets: 13/3
Hello, node 1, message 822, tx time 404 ms, battery 359, RSSI -105 dBm, SNR 5 dB, good/bad packets: 14/3
Hello, node 2, message 834, tx time 401 ms, battery 345, RSSI -109 dBm, SNR 1 dB, good/bad packets: 15/3
Hello, node 3, message 835, tx time 401 ms, battery 339, RSSI -118 dBm, SNR -4 dB, good/bad packets: 16/3
Hello, node 1, message 823, tx time 403 ms, battery 359, RSSI -106 dBm, SNR 4 dB, good/bad packets: 17/3
Hello, node 2, message 835, tx time 403 ms, battery 345, RSSI -113 dBm, SNR -1 dB, good/bad packets: 18/3
Hello, node 3, message 836, tx time 401 ms, battery 339, RSSI -120 dBm, SNR -6 dB, good/bad packets: 19/3
Hello, node 1, message 824, tx time 403 ms, battery 359, RSSI -105 dBm, SNR 5 dB, good/bad packets: 20/3
Hello, node 2, message 836, tx time 401 ms, battery 345, RSSI -107 dBm, SNR 2 dB, good/bad packets: 21/3
