17:26:10.887 -> boot
17:26:10.887 -> Start receiver
17:28:08.979 -> Hello, node 2, message 1, tx time 0 ms, battery 352, RSSI -34 dBm, SNR 8 dB, good/bad packets: 1/0
17:28:11.509 -> Hello, node 2, message 1, tx time 0 ms, battery 353, RSSI -38 dBm, SNR 10 dB, good/bad packets: 2/0
17:28:18.775 -> Hello, node 2, message 1, tx time 0 ms, battery 352, RSSI -34 dBm, SNR 7 dB, good/bad packets: 4/0
17:28:24.863 -> Hello, node 2, message 2, tx time 404 ms, battery 351, RSSI -42 dBm, SNR 8 dB, good/bad packets: 5/0
17:28:27.270 -> Hello, node 2, message 1, tx time 0 ms, battery 351, RSSI -43 dBm, SNR 10 dB, good/bad packets: 6/0
17:28:33.356 -> Hello, node 2, message 2, tx time 404 ms, battery 350, RSSI -55 dBm, SNR 9 dB, good/bad packets: 8/0
17:28:39.326 -> Hello, node 2, message 1, tx time 0 ms, battery 352, RSSI -45 dBm, SNR 10 dB, good/bad packets: 10/0
17:28:45.410 -> Hello, node 2, message 2, tx time 404 ms, battery 351, RSSI -48 dBm, SNR 9 dB, good/bad packets: 12/0
17:28:51.509 -> Hello, node 2, message 3, tx time 403 ms, battery 350, RSSI -47 dBm, SNR 9 dB, good/bad packets: 14/0
17:28:57.590 -> Hello, node 2, message 4, tx time 403 ms, battery 350, RSSI -47 dBm, SNR 9 dB, good/bad packets: 16/0
17:29:03.649 -> Hello, node 2, message 5, tx time 403 ms, battery 350, RSSI -44 dBm, SNR 10 dB, good/bad packets: 18/0
17:29:09.721 -> Hello, node 2, message 6, tx time 404 ms, battery 349, RSSI -45 dBm, SNR 9 dB, good/bad packets: 20/0
17:29:15.809 -> Hello, node 2, message 7, tx time 404 ms, battery 349, RSSI -45 dBm, SNR 10 dB, good/bad packets: 22/0
17:29:21.898 -> Hello, node 2, message 8, tx time 404 ms, battery 349, RSSI -45 dBm, SNR 10 dB, good/bad packets: 24/0
17:29:27.973 -> Hello, node 2, message 9, tx time 403 ms, battery 349, RSSI -48 dBm, SNR 9 dB, good/bad packets: 26/0
17:29:34.040 -> Hello, node 2, message 10, tx time 403 ms, battery 348, RSSI -41 dBm, SNR 10 dB, good/bad packets: 28/0
17:29:40.121 -> Hello, node 2, message 11, tx time 403 ms, battery 348, RSSI -47 dBm, SNR 10 dB, good/bad packets: 30/0
17:29:46.183 -> Hello, node 2, message 12, tx time 404 ms, battery 347, RSSI -45 dBm, SNR 9 dB, good/bad packets: 32/0
17:29:49.161 -> Hello, node 1, message 1, tx time 0 ms, battery 362, RSSI -60 dBm, SNR 9 dB, good/bad packets: 34/0
17:29:52.260 -> Hello, node 2, message 13, tx time 404 ms, battery 347, RSSI -44 dBm, SNR 9 dB, good/bad packets: 35/0
17:29:55.512 -> Hello, node 1, message 2, tx time 905 ms, battery 362, RSSI -67 dBm, SNR 10 dB, good/bad packets: 37/0
17:29:58.350 -> Hello, node 2, message 14, tx time 404 ms, battery 347, RSSI -45 dBm, SNR 9 dB, good/bad packets: 38/0
17:30:01.361 -> Hello, node 1, message 3, tx time 1208 ms, battery 355, RSSI -70 dBm, SNR 9 dB, good/bad packets: 40/0
17:30:04.432 -> Hello, node 2, message 15, tx time 403 ms, battery 347, RSSI -27 dBm, SNR 9 dB, good/bad packets: 41/0
17:30:07.147 -> Hello, node 1, message 4, tx time 1005 ms, battery 356, RSSI -70 dBm, SNR 9 dB, good/bad packets: 43/0
17:30:10.500 -> Hello, node 2, message 16, tx time 403 ms, battery 347, RSSI -31 dBm, SNR 9 dB, good/bad packets: 44/0
17:30:13.430 -> Hello, node 1, message 5, tx time 704 ms, battery 363, RSSI -67 dBm, SNR 10 dB, good/bad packets: 46/0
17:30:16.577 -> Hello, node 2, message 17, tx time 403 ms, battery 345, RSSI -34 dBm, SNR 10 dB, good/bad packets: 47/0
17:30:19.868 -> Hello, node 1, message 6, tx time 908 ms, battery 362, RSSI -55 dBm, SNR 9 dB, good/bad packets: 49/0
17:30:22.632 -> Hello, node 2, message 18, tx time 403 ms, battery 345, RSSI -34 dBm, SNR 9 dB, good/bad packets: 50/0
17:30:28.734 -> Hello, node 2, message 19, tx time 404 ms, battery 345, RSSI -28 dBm, SNR 10 dB, good/bad packets: 52/0
17:30:34.787 -> Hello, node 2, message 20, tx time 404 ms, battery 345, RSSI -28 dBm, SNR 10 dB, good/bad packets: 54/0
17:30:40.883 -> Hello, node 2, message 21, tx time 403 ms, battery 344, RSSI -33 dBm, SNR 10 dB, good/bad packets: 56/0
17:30:46.964 -> Hello, node 2, message 22, tx time 403 ms, battery 344, RSSI -33 dBm, SNR 10 dB, good/bad packets: 58/0
17:30:53.053 -> Hello, node 2, message 23, tx time 403 ms, battery 344, RSSI -40 dBm, SNR 10 dB, good/bad packets: 60/0
17:30:59.112 -> Hello, node 2, message 24, tx time 403 ms, battery 344, RSSI -48 dBm, SNR 9 dB, good/bad packets: 62/0
