Time,Tx ms, RSSI dBm, SNR dB
17:28:13.450,0,-40,10
17:28:27.796,0,-39,9
17:28:34.172,907,-40,11
17:28:41.562,0,-40,9
17:28:47.658,404,-40,10
17:28:53.736,403,-39,10
17:28:59.799,403,-39,9
17:29:05.891,403,-38,9
17:29:11.959,404,-39,10
17:29:18.024,404,-38,10
17:29:24.089,404,-39,9
17:29:30.191,403,-40,9
17:29:36.263,403,-41,10
17:29:42.345,403,-41,9
17:29:48.398,404,-39,10
17:29:49.161,0,-60,9
17:29:54.496,404,-39,10
17:29:55.512,905,-67,10
17:30:00.572,404,-41,10
17:30:01.361,1208,-70,9
17:30:06.667,403,-43,10
17:30:07.147,1005,-70,9
17:30:12.744,403,-44,9
17:30:13.430,704,-67,10
17:30:18.815,403,-44,9
17:30:19.868,908,-55,9
17:30:24.880,403,-54,10
17:30:30.946,404,-51,10
17:30:37.032,404,-43,9
17:30:43.108,403,-43,9
17:30:49.174,403,-52,10
17:30:55.275,403,-51,9
17:31:01.353,403,-65,9
17:31:07.402,404,-56,10
17:31:13.504,404,-61,10
17:31:19.569,404,-65,9
17:31:25.646,403,-54,9
17:31:31.729,403,-63,10
17:31:37.811,403,-57,9
17:31:43.880,404,-76,10
17:31:49.955,404,-87,10
17:31:56.037,404,-101,9

# This maybe the point where the sensors were burried.

17:32:08.181,403,-127,-6
17:32:14.238,403,-113,5
17:32:20.315,404,-114,3
17:32:26.404,404,-107,8
17:32:32.487,404,-114,3
17:32:38.564,403,-118,0
17:32:44.638,403,-112,6
17:32:50.716,403,-127,-5
17:33:02.851,404,-114,4
17:33:08.944,404,-129,-7
17:33:21.091,403,-117,0
17:33:27.186,403,-115,3
17:33:33.251,403,-115,2
17:33:39.345,404,-116,2
17:33:45.411,404,-115,3
17:33:51.481,404,-115,3
17:33:57.573,403,-116,2
17:34:03.656,403,-114,2
17:34:09.729,403,-115,2
17:34:15.774,404,-116,3
17:34:21.870,404,-115,0

# nodes definitely buried

17:40:20.410,403,-114,4
17:40:26.488,401,-112,5
17:40:32.563,403,-116,1
17:40:38.635,404,-117,0
17:40:44.737,402,-113,5
17:40:50.793,403,-112,6
17:40:56.892,401,-112,6
17:41:02.941,401,-112,6
17:41:09.088,401,-113,5
17:41:15.114,402,-112,6
17:41:21.174,402,-111,4
17:41:27.260,401,-111,7
17:41:33.363,401,-111,7
17:41:39.417,401,-116,2
17:41:45.500,401,-114,5
17:41:51.567,402,-114,4
17:41:57.642,402,-113,5

# taking nodes out of the ground

17:40:20.410,403,-114,4
17:40:26.488,401,-112,5
17:40:32.563,403,-116,1
17:40:38.635,404,-117,0
17:40:44.737,402,-113,5
17:40:50.793,403,-112,6
17:40:56.892,401,-112,6
17:41:02.941,401,-112,6
17:41:09.088,401,-113,5
17:41:15.114,402,-112,6
17:41:21.174,402,-111,4
17:41:27.260,401,-111,7
17:41:33.363,401,-111,7
17:41:39.417,401,-116,2
17:41:45.500,401,-114,5
17:41:51.567,402,-114,4
17:41:57.642,402,-113,5
17:42:03.766,402,-114,4
17:42:09.835,401,-108,7
17:42:15.903,401,-113,5
17:42:21.979,401,-115,3
17:42:28.063,404,-114,4
17:42:34.117,404,-116,2
17:42:40.203,404,-113,6
17:42:46.287,401,-123,-3
17:42:52.366,401,-113,5
17:42:58.420,403,-116,2
17:43:04.520,401,-115,3
17:43:10.590,404,-113,4
17:43:16.694,402,-113,4
17:43:22.761,401,-113,4
17:43:28.838,403,-112,5
17:43:34.894,401,-111,6
17:43:41.001,401,-114,4
17:43:47.057,402,-108,8
17:43:53.128,404,-109,7
17:43:59.218,401,-112,6
17:44:05.321,403,-112,6
17:44:11.369,401,-109,6
17:44:17.463,401,-115,3
17:44:23.525,402,-111,6
17:44:29.617,404,-112,6
17:44:35.697,404,-121,-1
17:44:41.758,401,-114,4
17:44:47.831,401,-115,3
17:44:53.933,401,-115,3
17:45:00.020,404,-115,3
17:45:06.085,402,-114,4
17:45:18.252,401,-119,-1
17:45:24.300,401,-127,-6
17:45:36.491,401,-123,-3
17:45:42.558,404,-122,-2
17:45:48.645,404,-116,0
17:45:54.711,401,-116,0
17:46:06.853,401,-114,3
17:46:12.948,401,-116,0
17:46:19.536,404,-116,0
17:46:25.912,903,-109,6
17:46:31.761,1206,-114,3
17:46:38.070,1003,-115,2
17:46:44.222,1208,-115,0
17:46:50.098,1306,-116,1
17:46:56.411,1106,-127,-7
17:47:07.647,1307,-115,1
17:47:13.716,401,-97,9
17:47:19.799,403,-93,10
17:47:25.851,401,-101,9
17:47:31.957,404,-99,9
17:47:38.025,404,-101,9
17:47:44.094,402,-102,9
17:47:50.200,401,-101,9
17:47:56.251,401,-96,9
